Method	Inferred	Reused	N	EQ_Reset	sd	se	ci
DynIncr	client_098m	client_098j	1000	0	0	0	0
DynIncr	client_098m	client_098l	1000	0	0	0	0
DynIncr	client_098za	client_098j	1000	0	0	0	0
DynIncr	client_098za	client_101	1000	248,51	141,941485427219	4,48858388417609	8,80813425769415
DynIncr	client_100m	client_098j	1000	0	0	0	0
DynIncr	client_100m	client_098za	1000	0	0	0	0
DynIncr	client_101	client_098j	1000	0	0	0	0
DynIncr	client_101	client_098m	1000	0	0	0	0
DynIncr	client_101h	client_098j	1000	0	0	0	0
DynIncr	client_101h	client_100m	1000	0	0	0	0
DynIncr	client_102	client_098j	1000	0	0	0	0
DynIncr	client_102	client_101h	1000	0	0	0	0
DynIncr	client_110-pre1	client_098j	1000	0	0	0	0
DynIncr	client_110-pre1	client_102	1000	0	0	0	0
DynIncr	server_097e	server_097	1000	0	0	0	0
DynIncr	server_097e	server_097c	1000	0	0	0	0
DynIncr	server_098l	server_097	1000	0	0	0	0
DynIncr	server_098l	server_097e	1000	0	0	0	0
DynIncr	server_098m	server_097	1000	0	0	0	0
DynIncr	server_098m	server_098l	1000	0	0	0	0
DynIncr	server_098s	server_097	1000	0	0	0	0
DynIncr	server_098s	server_100	1000	0	0	0	0
DynIncr	server_098u	server_097	1000	156,585	157,616718037157	4,98427826317962	9,78085588966358
DynIncr	server_098u	server_098s	1000	157,175	159,287095377352	5,03710023264911	9,8845106304123
DynIncr	server_098za	server_097	1000	262,003	261,093249004404	8,25649348547406	16,202059490124
DynIncr	server_098za	server_101	1000	0	0	0	0
DynIncr	server_100	server_097	1000	0	0	0	0
DynIncr	server_100	server_098m	1000	0	0	0	0
DynIncr	server_101	server_097	1000	186,26	181,424422890694	5,73714399516181	11,2582355301988
DynIncr	server_101	server_098u	1000	0	0	0	0
DynIncr	server_101k	server_097	1000	220,311	217,715360636904	6,88476421217584	13,5102582636804
DynIncr	server_101k	server_098za	1000	0	0	0	0
DynIncr	server_102	server_097	1000	0	0	0	0
DynIncr	server_102	server_101k	1000	0	0	0	0
DynIncr	server_110pre1	server_097	1000	72,913	74,6062566044197	2,35925698568946	4,62966780048716
DynIncr	server_110pre1	server_102	1000	75,942	73,6550317337499	2,3291766141063	4,57063984016322
DynFull	client_098m	client_098j	1000	0	0	0	0
DynFull	client_098m	client_098l	1000	0	0	0	0
DynFull	client_098za	client_098j	1000	0	0	0	0
DynFull	client_098za	client_101	1000	0	0	0	0
DynFull	client_100m	client_098j	1000	0	0	0	0
DynFull	client_100m	client_098za	1000	0	0	0	0
DynFull	client_101	client_098j	1000	0	0	0	0
DynFull	client_101	client_098m	1000	0	0	0	0
DynFull	client_101h	client_098j	1000	0	0	0	0
DynFull	client_101h	client_100m	1000	0	0	0	0
DynFull	client_102	client_098j	1000	0	0	0	0
DynFull	client_102	client_101h	1000	0	0	0	0
DynFull	client_110-pre1	client_098j	1000	0	0	0	0
DynFull	client_110-pre1	client_102	1000	0	0	0	0
DynFull	server_097e	server_097	1000	0	0	0	0
DynFull	server_097e	server_097c	1000	0	0	0	0
DynFull	server_098l	server_097	1000	0	0	0	0
DynFull	server_098l	server_097e	1000	0	0	0	0
DynFull	server_098m	server_097	1000	0	0	0	0
DynFull	server_098m	server_098l	1000	0	0	0	0
DynFull	server_098s	server_097	1000	0	0	0	0
DynFull	server_098s	server_100	1000	0	0	0	0
DynFull	server_098u	server_097	1000	154,573	158,272078149375	5,00500256960191	9,82152405540928
DynFull	server_098u	server_098s	1000	171,295	163,330838906613	5,16497463090942	10,135443863936
DynFull	server_098za	server_097	1000	248,719	245,887846124756	7,77565642707237	15,2584929943729
DynFull	server_098za	server_101	1000	0	0	0	0
DynFull	server_100	server_097	1000	0	0	0	0
DynFull	server_100	server_098m	1000	0	0	0	0
DynFull	server_101	server_097	1000	179,744	184,601251583206	5,83760413920695	11,45537263605
DynFull	server_101	server_098u	1000	0	0	0	0
DynFull	server_101k	server_097	1000	219,97	214,567873812629	6,78523193947506	13,3149419582388
DynFull	server_101k	server_098za	1000	0	0	0	0
DynFull	server_102	server_097	1000	0	0	0	0
DynFull	server_102	server_101k	1000	0	0	0	0
DynFull	server_110pre1	server_097	1000	0	0	0	0
DynFull	server_110pre1	server_102	1000	0	0	0	0
L*M	client_098m	N/A	1000	285,372	234,797000081447	7,42493308032115	14,5702540296555
L*M	client_098za	N/A	1000	222,958	136,064079277632	4,30272398251034	8,44341366669328
L*M	client_100m	N/A	1000	229,834	139,749469975232	4,41926626923049	8,67210942789952
L*M	client_101	N/A	1000	262,511	245,3909994715	7,75994475635114	15,227661331493
L*M	client_101h	N/A	1000	228,054	139,57854869304	4,41386126370724	8,6615029614636
L*M	client_102	N/A	1000	226,499	132,222868241034	4,18125422402009	8,205048523334
L*M	client_110-pre1	N/A	1000	226,094	138,497815177023	4,37968546916429	8,59443838286479
L*M	server_097e	N/A	1000	1787,965	1842,444771088	58,2632193970562	114,332331081958
L*M	server_098l	N/A	1000	323,602	388,598631614282	12,2885677152585	24,1143659255976
L*M	server_098m	N/A	1000	268,602	337,979762583377	10,6878585280643	20,9732279203492
L*M	server_098s	N/A	1000	275,093	300,735781644555	9,51010043907852	18,6620643911472
L*M	server_098u	N/A	1000	325,376	409,209818185365	12,9403506636914	25,3933866289674
L*M	server_098za	N/A	1000	290,498	349,410150753308	11,0493191396325	21,6825370649963
L*M	server_100	N/A	1000	273,987	339,055079858978	10,7218630460465	21,0399563958517
L*M	server_101	N/A	1000	391,629	453,982598299272	14,3561902870698	28,1717474242385
L*M	server_101k	N/A	1000	223,752	249,96506762152	7,90458949162011	15,5115036926459
L*M	server_102	N/A	1000	192,726	194,794424437128	6,15994056722886	12,0879067731911
L*M	server_110pre1	N/A	1000	124,959	85,2908309541234	2,69713289343422	5,29269570297279
