Methods	Control	Treatment	Metric	Wilcox	VD	VD.magnitude
L*M vs Dynamic L*M (v1)	client_098m	client_098j	MQ_Reset	0	0,999	large
L*M vs Dynamic L*M (v2)	client_098m	client_098j	MQ_Reset	0	0,999	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_098m	client_098j	MQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_098m	client_098l	MQ_Reset	0	0,999	large
L*M vs Dynamic L*M (v2)	client_098m	client_098l	MQ_Reset	0	0,999	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_098m	client_098l	MQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_101	client_098j	MQ_Reset	0	0,955	large
L*M vs Dynamic L*M (v2)	client_101	client_098j	MQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_101	client_098j	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v1)	client_101	client_098m	MQ_Reset	0	0,955	large
L*M vs Dynamic L*M (v2)	client_101	client_098m	MQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_101	client_098m	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v1)	client_098za	client_098j	MQ_Reset	0	0	large
L*M vs Dynamic L*M (v2)	client_098za	client_098j	MQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_098za	client_098j	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v1)	client_098za	client_101	MQ_Reset	0	0	large
L*M vs Dynamic L*M (v2)	client_098za	client_101	MQ_Reset	0	0,797	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_098za	client_101	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v1)	client_100m	client_098j	MQ_Reset	0	0	large
L*M vs Dynamic L*M (v2)	client_100m	client_098j	MQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_100m	client_098j	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v1)	client_100m	client_098za	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	client_100m	client_098za	MQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_100m	client_098za	MQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_101h	client_098j	MQ_Reset	0	0	large
L*M vs Dynamic L*M (v2)	client_101h	client_098j	MQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_101h	client_098j	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v1)	client_101h	client_100m	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	client_101h	client_100m	MQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_101h	client_100m	MQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_102	client_098j	MQ_Reset	0	0	large
L*M vs Dynamic L*M (v2)	client_102	client_098j	MQ_Reset	0	0,999	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_102	client_098j	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v1)	client_102	client_101h	MQ_Reset	0	0,999	large
L*M vs Dynamic L*M (v2)	client_102	client_101h	MQ_Reset	0	0,999	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_102	client_101h	MQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_110-pre1	client_098j	MQ_Reset	0	0	large
L*M vs Dynamic L*M (v2)	client_110-pre1	client_098j	MQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_110-pre1	client_098j	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v1)	client_110-pre1	client_102	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	client_110-pre1	client_102	MQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_110-pre1	client_102	MQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_097e	server_097	MQ_Reset	0	0	large
L*M vs Dynamic L*M (v2)	server_097e	server_097	MQ_Reset	0	0,857	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_097e	server_097	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v1)	server_097e	server_097c	MQ_Reset	0	0,111	large
L*M vs Dynamic L*M (v2)	server_097e	server_097c	MQ_Reset	0	0,864	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_097e	server_097c	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v1)	server_098l	server_097	MQ_Reset	0	0	large
L*M vs Dynamic L*M (v2)	server_098l	server_097	MQ_Reset	0	0,712	medium
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098l	server_097	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v1)	server_098l	server_097e	MQ_Reset	0	0	large
L*M vs Dynamic L*M (v2)	server_098l	server_097e	MQ_Reset	0	0,717	medium
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_098l	server_097e	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v1)	server_098m	server_097	MQ_Reset	0	0	large
