Method	Inferred	Reused	N	MQ_Reset	sd	se	ci
DynIncr	client_098m	client_098j	1000	352	0	0	0
DynIncr	client_098m	client_098l	1000	352	0	0	0
DynIncr	client_098za	client_098j	1000	207	0	0	0
DynIncr	client_098za	client_101	1000	242,526	5,68855725853961	0,179887975372685	0,353001632433172
DynIncr	client_100m	client_098j	1000	207	0	0	0
DynIncr	client_100m	client_098za	1000	207	0	0	0
DynIncr	client_101	client_098j	1000	295	0	0	0
DynIncr	client_101	client_098m	1000	295	0	0	0
DynIncr	client_101h	client_098j	1000	207	0	0	0
DynIncr	client_101h	client_100m	1000	207	0	0	0
DynIncr	client_102	client_098j	1000	207	0	0	0
DynIncr	client_102	client_101h	1000	207	0	0	0
DynIncr	client_110-pre1	client_098j	1000	207	0	0	0
DynIncr	client_110-pre1	client_102	1000	207	0	0	0
DynIncr	server_097e	server_097	1000	444	0	0	0
DynIncr	server_097e	server_097c	1000	421	0	0	0
DynIncr	server_098l	server_097	1000	300	0	0	0
DynIncr	server_098l	server_097e	1000	270	0	0	0
DynIncr	server_098m	server_097	1000	270	0	0	0
DynIncr	server_098m	server_098l	1000	220	0	0	0
DynIncr	server_098s	server_097	1000	270	0	0	0
DynIncr	server_098s	server_100	1000	218	0	0	0
DynIncr	server_098u	server_097	1000	406,761	24,1057870223722	0,762291917816245	1,49587703581775
DynIncr	server_098u	server_098s	1000	351,857	23,9212201983046	0,756455402370672	1,48442379957036
DynIncr	server_098za	server_097	1000	306,329	2,7662992266585	0,0874780624580324	0,171661828901018
DynIncr	server_098za	server_101	1000	157	0	0	0
DynIncr	server_100	server_097	1000	270	0	0	0
DynIncr	server_100	server_098m	1000	218	0	0	0
DynIncr	server_101	server_097	1000	461,593	24,2199082358905	0,765900747456846	1,50295879184767
DynIncr	server_101	server_098u	1000	313	0	0	0
DynIncr	server_101k	server_097	1000	302,987	3,29418922994455	0,104171410102209	0,204419877108301
DynIncr	server_101k	server_098za	1000	135	0	0	0
DynIncr	server_102	server_097	1000	219	0	0	0
DynIncr	server_102	server_101k	1000	168	0	0	0
DynIncr	server_110pre1	server_097	1000	198,559	2,17053685299979	0,0686384020081341	0,134691982086507
DynIncr	server_110pre1	server_102	1000	170,541	1,97894801226188	0,0625798308981035	0,122802996802069
DynFull	client_098m	client_098j	1000	352	0	0	0
DynFull	client_098m	client_098l	1000	352	0	0	0
DynFull	client_098za	client_098j	1000	352	0	0	0
DynFull	client_098za	client_101	1000	449	0	0	0
DynFull	client_100m	client_098j	1000	352	0	0	0
