Inferred	Reused	N	Total_Resets	sd	se	ci
server_097e	N/A	2e+05	3641,20029	2527,02690011181	5,65060392962057	11,0750472175163
server_097e	server_097	1e+05	892	0	0	0
server_097e	server_097c	1e+05	651	0	0	0
server_098l	N/A	2e+05	587,3547	345,461370641788	0,772475108355289	1,51403255403274
server_098l	server_097	1e+05	892	0	0	0
server_098l	server_097e	1e+05	722	0	0	0
server_098m	N/A	2e+05	546,924925	309,08661810475	0,691138689017739	1,3546151367289
server_098m	server_097	1e+05	892	0	0	0
server_098m	server_098l	1e+05	357	0	0	0
server_098s	N/A	2e+05	562,847295	319,333815382291	0,714052118709171	1,39952490547372
server_098s	server_097	1e+05	892	0	0	0
server_098s	server_100	1e+05	325	0	0	0
server_098u	N/A	2e+05	669,72246	360,691958428508	0,806531737983673	1,58078272550143
server_098u	server_097	1e+05	1186,39447	168,279076720476	0,532145164986921	1,04299798212458
server_098u	server_098s	1e+05	634,02072	176,859731324932	0,559279577352215	1,09618109681817
server_098za	N/A	2e+05	515,32277	313,387528913075	0,700755817950317	1,37346447714487
server_098za	server_097	1e+05	1231,56431	240,946760712069	0,761940558689711	1,49339412908464
server_098za	server_101	1e+05	538	0	0	0
server_100	N/A	2e+05	547,105475	310,344225832731	0,693950785386532	1,36012677768843
server_100	server_097	1e+05	892	0	0	0
server_100	server_098m	1e+05	325	0	0	0
server_101	N/A	2e+05	780,616665	427,483283473244	0,955881681090986	1,87350500659713
server_101	server_097	1e+05	1338,47718	199,236834376601	0,630042190431794	1,23487494862396
server_101	server_098u	1e+05	538	0	0	0
server_101k	N/A	2e+05	455,87327	273,296660032334	0,611109909855948	1,19776066258483
server_101k	server_097	1e+05	1179,04608	203,946098998599	0,64493419274176	1,26406309009561
server_101k	server_098za	1e+05	293	0	0	0
server_102	N/A	2e+05	387,207535	208,254016366793	0,465670137183503	0,912702221095314
server_102	server_097	1e+05	892	0	0	0
server_102	server_101k	1e+05	310	0	0	0
server_110pre1	N/A	2e+05	252,477795	91,5049866004626	0,204611370318842	0,401033343647226
server_110pre1	server_097	1e+05	995	0	0	0
server_110pre1	server_102	1e+05	272	0	0	0
client_098m	N/A	2e+05	642,979925	192,665195978368	0,430812475105951	0,844382045374373
client_098m	client_098j	1e+05	352	0	0	0
client_098m	client_098l	1e+05	352	0	0	0
client_098za	N/A	2e+05	424,145495	124,054065605529	0,277393323579182	0,543684214064092
client_098za	client_098j	1e+05	352	0	0	0
client_098za	client_101	1e+05	449	0	0	0
client_100m	N/A	2e+05	423,66892	123,528235404535	0,276217531505137	0,541379689999016
client_100m	client_098j	1e+05	352	0	0	0
client_100m	client_098za	1e+05	207	0	0	0
client_101	N/A	2e+05	664,81474	242,946259578446	0,543244351296714	1,06474580703166
client_101	client_098j	1e+05	352	0	0	0
client_101	client_098m	1e+05	352	0	0	0
client_101h	N/A	2e+05	424,00016	123,79592375005	0,276816100842491	0,542552871442402
client_101h	client_098j	1e+05	352	0	0	0
client_101h	client_100m	1e+05	207	0	0	0
client_102	N/A	2e+05	423,86586	123,75577519421	0,276726325942436	0,542376914806714
client_102	client_098j	1e+05	352	0	0	0
client_102	client_101h	1e+05	207	0	0	0
client_110-pre1	N/A	2e+05	423,593885	123,765064111656	0,276747096593282	0,542417624780677
client_110-pre1	client_098j	1e+05	352	0	0	0
client_110-pre1	client_102	1e+05	207	0	0	0
