2019-01-30 13:07:22 INFO Infer_LearnLib |SUL name: client_098l.dot.kiss
2019-01-30 13:07:22 INFO Infer_LearnLib |SUL dir: /home/damascdn/remote_euler/Benchmark/Nordsec16/client_098l.dot.kiss
2019-01-30 13:07:22 INFO Infer_LearnLib |Output dir: /home/damascdn/remote_euler/Nordsec16_client/20190130_130529_084307611
2019-01-30 13:07:22 INFO Infer_LearnLib |Seed: 1548860841859
2019-01-30 13:07:22 INFO Infer_LearnLib |Cache: Y
2019-01-30 13:07:22 INFO Infer_LearnLib |ClosingStrategy: CloseFirst
2019-01-30 13:07:22 INFO Infer_LearnLib |ObservationTableCEXHandler: RivestSchapire
2019-01-30 13:07:22 INFO Infer_LearnLib |EquivalenceOracle: WpMethodHypEQOracle(2)
2019-01-30 13:07:22 INFO Infer_LearnLib |Method: DL*M_v0
2019-01-30 13:07:22 INFO Infer_LearnLib |Revalidate OT
2019-01-30 13:07:22 INFO Infer_LearnLib |Reading OT: client_098m.dot.ot
2019-01-30 13:07:22 INFO Infer_LearnLib |Revalidate OT
2019-01-30 13:07:22 INFO Infer_LearnLib |revalidateOT2: Begin
2019-01-30 13:07:22 INFO Infer_LearnLib |revalidate using GenericObservationTable: Begin
2019-01-30 13:07:22 INFO Infer_LearnLib |revalidate using GenericObservationTable: Stop learning
2019-01-30 13:07:22 INFO Infer_LearnLib |revalidateOT2: Started to search well-formed cover set
2019-01-30 13:07:22 INFO Infer_LearnLib |revalidateOT2: Ended to search well-formed cover set
2019-01-30 13:07:22 INFO Infer_LearnLib |revalidateOT2: Started to copy well-formed cover set
2019-01-30 13:07:22 INFO Infer_LearnLib |revalidateOT2: Ended to copy well-formed cover set
2019-01-30 13:07:22 INFO Infer_LearnLib |revalidateOT2: Started to search experiment cover set
2019-01-30 13:07:22 INFO Infer_LearnLib |revalidateOT2: Ended to search experiment cover set
2019-01-30 13:07:22 INFO Infer_LearnLib |revalidateOT2: Started to copy experiment cover set
2019-01-30 13:07:22 INFO Infer_LearnLib |revalidateOT2: Ended to copy experiment cover set
2019-01-30 13:07:22 INFO Infer_LearnLib |revalidateOT2: End
2019-01-30 13:07:22 INFO Infer_LearnLib |Reused prefixes: 12/12
2019-01-30 13:07:22 INFO Infer_LearnLib |Reused suffixes: 5/8
2019-01-30 13:07:22 INFO Infer_LearnLib |Reused queries [resets]: 776
2019-01-30 13:07:22 INFO Infer_LearnLib |Reused queries [symbols]: 3848
2019-01-30 13:07:22 INFO Experiment |Starting round 1
2019-01-30 13:07:22 INFO Experiment |Learning
2019-01-30 13:07:22 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@2d8f65a4
2019-01-30 13:07:22 INFO Experiment |Searching for counterexample
2019-01-30 13:07:22 INFO Infer_LearnLib |Rounds: 1
2019-01-30 13:07:22 INFO Infer_LearnLib |MQ [resets]: 776
2019-01-30 13:07:22 INFO Infer_LearnLib |MQ [symbols]: 3848
2019-01-30 13:07:22 INFO Infer_LearnLib |EQ [resets]: 0
2019-01-30 13:07:22 INFO Infer_LearnLib |EQ [symbols]: 0
2019-01-30 13:07:22 INFO SimpleProfiler |Learning [ms]: 31
2019-01-30 13:07:22 INFO SimpleProfiler |Searching for counterexample [ms]: 4
2019-01-30 13:07:22 INFO Infer_LearnLib |Qsize: 12
2019-01-30 13:07:22 INFO Infer_LearnLib |Isize: 8
2019-01-30 13:07:22 INFO Infer_LearnLib |Equivalent: OK
2019-01-30 13:07:22 INFO Infer_LearnLib |Info: N/A
