2019-01-30 13:06:05 INFO Infer_LearnLib |SUL name: server_097c.dot.kiss
2019-01-30 13:06:05 INFO Infer_LearnLib |SUL dir: /home/damascdn/remote_euler/Benchmark/Nordsec16/server_097c.dot.kiss
2019-01-30 13:06:05 INFO Infer_LearnLib |Output dir: /home/damascdn/remote_euler/Nordsec16_server/20190130_130529_084307611
2019-01-30 13:06:05 INFO Infer_LearnLib |Seed: 1548860764917
2019-01-30 13:06:05 INFO Infer_LearnLib |Cache: Y
2019-01-30 13:06:05 INFO Infer_LearnLib |ClosingStrategy: CloseFirst
2019-01-30 13:06:05 INFO Infer_LearnLib |ObservationTableCEXHandler: RivestSchapire
2019-01-30 13:06:05 INFO Infer_LearnLib |EquivalenceOracle: WpMethodHypEQOracle(2)
2019-01-30 13:06:05 INFO Infer_LearnLib |Method: TTT
2019-01-30 13:06:05 INFO Experiment |Starting round 1
2019-01-30 13:06:05 INFO Experiment |Learning
2019-01-30 13:06:05 INFO Experiment |de.learnlib.algorithms.ttt.mealy.TTTHypothesisMealy@5ae63ade
2019-01-30 13:06:05 INFO Experiment |Searching for counterexample
2019-01-30 13:06:05 INFO Experiment |ClientHelloRSAReset ApplicationData
2019-01-30 13:06:05 INFO Experiment |Starting round 2
2019-01-30 13:06:05 INFO Experiment |Learning
2019-01-30 13:06:05 INFO Experiment |de.learnlib.algorithms.ttt.mealy.TTTHypothesisMealy@5ae63ade
2019-01-30 13:06:05 INFO Experiment |Searching for counterexample
2019-01-30 13:06:05 INFO Experiment |ApplicationData ApplicationDataEmpty ApplicationData
2019-01-30 13:06:05 INFO Experiment |Starting round 3
2019-01-30 13:06:05 INFO Experiment |Learning
2019-01-30 13:06:05 INFO Experiment |de.learnlib.algorithms.ttt.mealy.TTTHypothesisMealy@5ae63ade
2019-01-30 13:06:05 INFO Experiment |Searching for counterexample
2019-01-30 13:06:05 INFO Experiment |ApplicationDataEmpty ApplicationDataEmpty ApplicationDataEmpty
2019-01-30 13:06:05 INFO Experiment |Starting round 4
2019-01-30 13:06:05 INFO Experiment |Learning
2019-01-30 13:06:05 INFO Experiment |de.learnlib.algorithms.ttt.mealy.TTTHypothesisMealy@5ae63ade
2019-01-30 13:06:05 INFO Experiment |Searching for counterexample
2019-01-30 13:06:05 INFO Experiment |ClientHelloRSAReset ChangeCipherSpec ApplicationDataEmpty ApplicationDataEmpty
2019-01-30 13:06:05 INFO Experiment |Starting round 5
2019-01-30 13:06:05 INFO Experiment |Learning
2019-01-30 13:06:05 INFO Experiment |de.learnlib.algorithms.ttt.mealy.TTTHypothesisMealy@5ae63ade
2019-01-30 13:06:05 INFO Experiment |Searching for counterexample
2019-01-30 13:06:05 INFO Experiment |ClientHelloRSAReset ClientKeyExchange ClientHelloRSAReset
2019-01-30 13:06:05 INFO Experiment |Starting round 6
2019-01-30 13:06:05 INFO Experiment |Learning
2019-01-30 13:06:05 INFO Experiment |de.learnlib.algorithms.ttt.mealy.TTTHypothesisMealy@5ae63ade
2019-01-30 13:06:05 INFO Experiment |Searching for counterexample
2019-01-30 13:06:05 INFO Experiment |ClientHelloRSAReset ClientKeyExchange ChangeCipherSpec Finished ApplicationData
2019-01-30 13:06:05 INFO Experiment |Starting round 7
2019-01-30 13:06:05 INFO Experiment |Learning
2019-01-30 13:06:05 INFO Experiment |de.learnlib.algorithms.ttt.mealy.TTTHypothesisMealy@5ae63ade
2019-01-30 13:06:05 INFO Experiment |Searching for counterexample
2019-01-30 13:06:05 INFO Experiment |ClientHelloRSAReset ClientKeyExchange ChangeCipherSpec Finished ClientHelloRSAReset ChangeCipherSpec ApplicationData
2019-01-30 13:06:05 INFO Experiment |Starting round 8
2019-01-30 13:06:05 INFO Experiment |Learning
2019-01-30 13:06:05 INFO Experiment |de.learnlib.algorithms.ttt.mealy.TTTHypothesisMealy@5ae63ade
2019-01-30 13:06:05 INFO Experiment |Searching for counterexample
2019-01-30 13:06:05 INFO Experiment |ClientHelloRSAReset ClientKeyExchange ChangeCipherSpec Finished ClientHelloRSAReset ClientKeyExchange ChangeCipherSpec Finished ApplicationData
2019-01-30 13:06:05 INFO Experiment |Starting round 9
2019-01-30 13:06:05 INFO Experiment |Learning
2019-01-30 13:06:05 INFO Experiment |de.learnlib.algorithms.ttt.mealy.TTTHypothesisMealy@5ae63ade
2019-01-30 13:06:05 INFO Experiment |Searching for counterexample
2019-01-30 13:06:05 INFO Infer_LearnLib |Rounds: 9
2019-01-30 13:06:05 INFO Infer_LearnLib |MQ [resets]: 277
2019-01-30 13:06:05 INFO Infer_LearnLib |MQ [symbols]: 1401
2019-01-30 13:06:05 INFO Infer_LearnLib |EQ [resets]: 5822
2019-01-30 13:06:05 INFO Infer_LearnLib |EQ [symbols]: 35134
2019-01-30 13:06:05 INFO SimpleProfiler |Learning [ms]: 29
2019-01-30 13:06:05 INFO SimpleProfiler |Searching for counterexample [ms]: 181
2019-01-30 13:06:05 INFO Infer_LearnLib |Qsize: 14
2019-01-30 13:06:05 INFO Infer_LearnLib |Isize: 7
2019-01-30 13:06:05 INFO Infer_LearnLib |Equivalent: OK
2019-01-30 13:06:05 INFO Infer_LearnLib |Info: N/A
