2019-01-30 13:15:00 INFO Infer_LearnLib |SUL name: server_098l.dot.kiss
2019-01-30 13:15:00 INFO Infer_LearnLib |SUL dir: /home/damascdn/remote_euler/Benchmark/Nordsec16/server_098l.dot.kiss
2019-01-30 13:15:00 INFO Infer_LearnLib |Output dir: /home/damascdn/remote_euler/Nordsec16_server/20190130_130529_084307611
2019-01-30 13:15:00 INFO Infer_LearnLib |Seed: 1548861299841
2019-01-30 13:15:00 INFO Infer_LearnLib |Cache: Y
2019-01-30 13:15:00 INFO Infer_LearnLib |ClosingStrategy: CloseFirst
2019-01-30 13:15:00 INFO Infer_LearnLib |ObservationTableCEXHandler: RivestSchapire
2019-01-30 13:15:00 INFO Infer_LearnLib |EquivalenceOracle: WpMethodHypEQOracle(2)
2019-01-30 13:15:00 INFO Infer_LearnLib |Method: DL*M_v2
2019-01-30 13:15:00 INFO Infer_LearnLib |Reading OT: server_101k.dot.ot
2019-01-30 13:15:00 INFO Experiment |Starting round 1
2019-01-30 13:15:00 INFO Experiment |Learning
2019-01-30 13:15:00 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@1d16f93d
2019-01-30 13:15:00 INFO Experiment |Searching for counterexample
2019-01-30 13:15:00 INFO Experiment |ClientHelloRSAReset ChangeCipherSpec ChangeCipherSpec
2019-01-30 13:15:00 INFO Experiment |Starting round 2
2019-01-30 13:15:00 INFO Experiment |Learning
2019-01-30 13:15:00 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@1d16f93d
2019-01-30 13:15:00 INFO Experiment |Searching for counterexample
2019-01-30 13:15:00 INFO Experiment |ClientHelloRSAReset ChangeCipherSpec ClientKeyExchange Finished ChangeCipherSpec ApplicationDataEmpty
2019-01-30 13:15:00 INFO Experiment |Starting round 3
2019-01-30 13:15:00 INFO Experiment |Learning
2019-01-30 13:15:00 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@1d16f93d
2019-01-30 13:15:00 INFO Experiment |Searching for counterexample
2019-01-30 13:15:00 INFO Infer_LearnLib |Rounds: 3
2019-01-30 13:15:00 INFO Infer_LearnLib |MQ [resets]: 329
2019-01-30 13:15:00 INFO Infer_LearnLib |MQ [symbols]: 1558
2019-01-30 13:15:00 INFO Infer_LearnLib |EQ [resets]: 60
2019-01-30 13:15:00 INFO Infer_LearnLib |EQ [symbols]: 180
2019-01-30 13:15:00 INFO SimpleProfiler |Learning [ms]: 42
2019-01-30 13:15:00 INFO SimpleProfiler |Searching for counterexample [ms]: 39
2019-01-30 13:15:00 INFO Infer_LearnLib |Qsize: 11
2019-01-30 13:15:00 INFO Infer_LearnLib |Isize: 7
2019-01-30 13:15:00 INFO Infer_LearnLib |Equivalent: OK
2019-01-30 13:15:00 INFO Infer_LearnLib |Info: N/A
