2019-01-30 13:05:31 INFO Infer_LearnLib |SUL name: BitVise.dot.fixed.kiss
2019-01-30 13:05:31 INFO Infer_LearnLib |SUL dir: /home/damascdn/remote_euler/Benchmark/SSH/BitVise.dot.fixed.kiss
2019-01-30 13:05:31 INFO Infer_LearnLib |Output dir: /home/damascdn/remote_euler/SSH/20190130_130529_137622733
2019-01-30 13:05:31 INFO Infer_LearnLib |Seed: 1548860730377
2019-01-30 13:05:31 INFO Infer_LearnLib |Cache: Y
2019-01-30 13:05:31 INFO Infer_LearnLib |ClosingStrategy: CloseFirst
2019-01-30 13:05:31 INFO Infer_LearnLib |ObservationTableCEXHandler: RivestSchapire
2019-01-30 13:05:31 INFO Infer_LearnLib |EquivalenceOracle: WpMethodHypEQOracle(2)
2019-01-30 13:05:31 INFO Infer_LearnLib |Method: L1
2019-01-30 13:05:31 INFO Experiment |Starting round 1
2019-01-30 13:05:31 INFO Experiment |Learning
2019-01-30 13:05:31 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@eec5a4a
2019-01-30 13:05:31 INFO Experiment |Searching for counterexample
2019-01-30 13:05:31 INFO Experiment |CH_OPEN CH_CLOSE
2019-01-30 13:05:31 INFO Experiment |Starting round 2
2019-01-30 13:05:31 INFO Experiment |Learning
2019-01-30 13:05:31 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@eec5a4a
2019-01-30 13:05:31 INFO Experiment |Searching for counterexample
2019-01-30 13:05:31 INFO Experiment |CH_OPEN CH_CLOSE CH_OPEN CH_CLOSE
2019-01-30 13:05:31 INFO Experiment |Starting round 3
2019-01-30 13:05:31 INFO Experiment |Learning
2019-01-30 13:05:31 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@eec5a4a
2019-01-30 13:05:31 INFO Experiment |Searching for counterexample
2019-01-30 13:05:31 INFO Experiment |KEXINIT KEX30 KEX30 CH_CLOSE
2019-01-30 13:05:31 INFO Experiment |Starting round 4
2019-01-30 13:05:31 INFO Experiment |Learning
2019-01-30 13:05:31 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@eec5a4a
2019-01-30 13:05:31 INFO Experiment |Searching for counterexample
2019-01-30 13:05:31 INFO Experiment |KEXINIT KEX30 KEX30 KEX30
2019-01-30 13:05:31 INFO Experiment |Starting round 5
2019-01-30 13:05:31 INFO Experiment |Learning
2019-01-30 13:05:31 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@eec5a4a
2019-01-30 13:05:31 INFO Experiment |Searching for counterexample
2019-01-30 13:05:31 INFO Experiment |KEXINIT KEX30 NEWKEYS SERVICE_REQUEST_AUTH KEXINIT KEX30 UA_PK_OK CH_OPEN CH_EOF UA_PK_NOK
2019-01-30 13:05:31 INFO Experiment |Starting round 6
2019-01-30 13:05:31 INFO Experiment |Learning
2019-01-30 13:05:31 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@eec5a4a
2019-01-30 13:05:31 INFO Experiment |Searching for counterexample
2019-01-30 13:05:31 INFO Experiment |KEXINIT KEX30 NEWKEYS CH_OPEN SERVICE_REQUEST_AUTH UA_PK_OK KEXINIT_PROCEED CH_CLOSE KEX30 KEX30
2019-01-30 13:05:31 INFO Experiment |Starting round 7
2019-01-30 13:05:31 INFO Experiment |Learning
2019-01-30 13:05:31 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@eec5a4a
2019-01-30 13:05:31 INFO Experiment |Searching for counterexample
2019-01-30 13:05:31 INFO Experiment |KEXINIT KEX30 NEWKEYS SERVICE_REQUEST_AUTH UA_PK_OK CH_OPEN KEXINIT_PROCEED CH_DATA CH_EOF KEX30 KEX30
2019-01-30 13:05:31 INFO Experiment |Starting round 8
2019-01-30 13:05:31 INFO Experiment |Learning
2019-01-30 13:05:31 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@eec5a4a
2019-01-30 13:05:31 INFO Experiment |Searching for counterexample
2019-01-30 13:05:32 INFO Experiment |KEXINIT KEX30 NEWKEYS SERVICE_REQUEST_AUTH KEXINIT UA_PK_OK CH_OPEN CH_DATA KEX30 CH_EOF
2019-01-30 13:05:32 INFO Experiment |Starting round 9
2019-01-30 13:05:32 INFO Experiment |Learning
2019-01-30 13:05:32 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@eec5a4a
2019-01-30 13:05:32 INFO Experiment |Searching for counterexample
2019-01-30 13:05:32 INFO Experiment |KEXINIT KEX30 NEWKEYS SERVICE_REQUEST_AUTH UA_PK_OK KEXINIT_PROCEED CH_OPEN KEX30 KEX30 CH_CLOSE
2019-01-30 13:05:32 INFO Experiment |Starting round 10
2019-01-30 13:05:32 INFO Experiment |Learning
2019-01-30 13:05:32 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@eec5a4a
2019-01-30 13:05:32 INFO Experiment |Searching for counterexample
2019-01-30 13:05:32 INFO Experiment |KEXINIT KEX30 NEWKEYS SERVICE_REQUEST_AUTH KEXINIT_PROCEED UA_PK_OK CH_OPEN CH_DATA KEX30 KEX30 CH_EOF
2019-01-30 13:05:32 INFO Experiment |Starting round 11
2019-01-30 13:05:32 INFO Experiment |Learning
2019-01-30 13:05:32 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@eec5a4a
2019-01-30 13:05:32 INFO Experiment |Searching for counterexample
2019-01-30 13:05:32 INFO Experiment |KEXINIT KEX30 NEWKEYS KEXINIT KEX30 KEXINIT CH_CLOSE
