SUL name|Seed|Cache|ClosingStrategy|ObservationTableCEXHandler|EquivalenceOracle|Method|Reading OT|Reused queries [resets]|Reused queries [symbols]|Rounds|MQ [resets]|MQ [symbols]|EQ [resets]|EQ [symbols]|Learning [ms]|Searching for counterexample [ms]|Qsize|Isize|Equivalent|Info|Reused prefixes|Reused suffixes
server_097c.dot.kiss|1548860762978|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|4|955|5522|6512|40141|54|174|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548860763850|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L1|null|null|null|9|730|4521|5823|35136|36|174|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548860764917|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|TTT|null|null|null|9|277|1401|5822|35134|29|181|14|7|OK|N/A|null|null
server_097.dot.kiss|1548860765912|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|4|1159|6762|7768|49413|42|185|17|7|OK|N/A|null|null
server_097.dot.kiss|1548860766926|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L1|null|null|null|10|989|6207|8185|51336|33|207|17|7|OK|N/A|null|null
server_097.dot.kiss|1548860767934|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|TTT|null|null|null|12|355|1879|8234|51571|35|220|17|7|OK|N/A|null|null
server_097e.dot.kiss|1548860769249|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|4|955|5522|6525|40225|58|180|14|7|OK|N/A|null|null
server_097e.dot.kiss|1548860772312|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L1|null|null|null|9|721|4554|5822|35201|34|196|14|7|OK|N/A|null|null
server_097e.dot.kiss|1548860775001|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|TTT|null|null|null|10|280|1419|5839|35260|23|148|14|7|OK|N/A|null|null
server_098l.dot.kiss|1548860775612|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|1|546|2408|0|0|25|4|11|7|OK|N/A|null|null
server_098l.dot.kiss|1548860777857|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|TTT|null|null|null|8|214|885|444|1696|21|57|11|7|OK|N/A|null|null
server_098l.dot.kiss|1548860777860|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L1|null|null|null|7|434|2220|1278|5602|27|95|11|7|OK|N/A|null|null
server_098m.dot.kiss|1548860778774|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|1|497|2065|0|0|28|4|10|7|OK|N/A|null|null
server_098m.dot.kiss|1548860780123|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L1|null|null|null|7|395|1919|1278|5602|37|114|10|7|OK|N/A|null|null
server_098m.dot.kiss|1548860780671|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|TTT|null|null|null|8|200|782|444|1696|37|98|10|7|OK|N/A|null|null
server_098s.dot.kiss|1548860782302|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|1|497|2065|0|0|36|3|10|7|OK|N/A|null|null
server_098s.dot.kiss|1548860782620|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L1|null|null|null|7|395|1919|1278|5602|28|93|10|7|OK|N/A|null|null
server_098u.dot.kiss|1548860782772|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L1|null|null|null|7|473|2326|1646|7607|27|91|12|7|OK|N/A|null|null
server_098u.dot.kiss|1548860782742|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|1|595|2506|0|0|43|4|12|7|OK|N/A|null|null
server_098s.dot.kiss|1548860782780|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|TTT|null|null|null|8|198|775|444|1696|31|86|10|7|OK|N/A|null|null
server_098u.dot.kiss|1548860783010|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|TTT|null|null|null|8|242|963|1646|7607|25|98|12|7|OK|N/A|null|null
server_098za.dot.kiss|1548860784110|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|1|448|1820|0|0|35|3|9|7|OK|N/A|null|null
server_098za.dot.kiss|1548860785135|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L1|null|null|null|6|301|1409|421|1600|24|72|9|7|OK|N/A|null|null
server_098za.dot.kiss|1548860786119|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|TTT|null|null|null|6|175|666|421|1600|26|79|9|7|OK|N/A|null|null
server_100.dot.kiss|1548860786958|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|1|497|2065|0|0|27|4|10|7|OK|N/A|null|null
server_100.dot.kiss|1548860788068|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L1|null|null|null|7|395|1919|1278|5602|22|79|10|7|OK|N/A|null|null
server_100.dot.kiss|1548860788969|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|TTT|null|null|null|8|200|782|444|1696|26|76|10|7|OK|N/A|null|null
server_101.dot.kiss|1548860789992|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|1|693|3143|0|0|23|3|14|7|OK|N/A|null|null
server_101.dot.kiss|1548860790979|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L1|null|null|null|7|551|2889|2005|10298|28|104|14|7|OK|N/A|null|null
server_101.dot.kiss|1548860791960|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|TTT|null|null|null|9|280|1200|2006|10303|34|107|14|7|OK|N/A|null|null
server_101k.dot.kiss|1548860792989|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|1|399|1477|0|0|26|3|8|7|OK|N/A|null|null
server_101k.dot.kiss|1548860793996|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L1|null|null|null|6|268|1157|421|1600|22|63|8|7|OK|N/A|null|null
server_101k.dot.kiss|1548860794997|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|TTT|null|null|null|6|156|538|421|1600|26|64|8|7|OK|N/A|null|null
server_102.dot.kiss|1548860796011|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|1|350|1281|0|0|22|3|7|7|OK|N/A|null|null
server_102.dot.kiss|1548860796999|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L1|null|null|null|6|235|1004|514|1981|28|68|7|7|OK|N/A|null|null
server_102.dot.kiss|1548860798368|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|TTT|null|null|null|6|136|463|514|1981|21|62|7|7|OK|N/A|null|null
server_110pre1.dot.kiss|1548860799087|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L*M|null|null|null|1|301|1134|0|0|19|3|6|7|OK|N/A|null|null
server_110pre1.dot.kiss|1548860799992|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|L1|null|null|null|5|160|714|392|1529|22|73|6|7|OK|N/A|null|null
server_110pre1.dot.kiss|1548860801006|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|TTT|null|null|null|5|88|298|392|1529|19|68|6|7|OK|N/A|null|null
server_097c.dot.kiss|1548861115099|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|server_097.dot.ot|null|null|3|945|5457|6303|38216|40|126|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548861116096|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v0|server_097.dot.ot|943|5243|4|1189|6942|6512|40141|53|177|14|7|OK|N/A|10/17|4/8
server_097c.dot.kiss|1548861118325|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v2|server_097.dot.ot|null|null|4|699|4067|6512|40141|130|202|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548861118324|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|server_097.dot.ot|1149|6704|1|1149|6704|0|0|57|4|14|7|OK|N/A|14/17|4/8
server_097c.dot.kiss|1548861119142|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|server_097e.dot.ot|null|null|3|945|5457|6303|38216|50|158|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548861120599|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v0|server_097e.dot.ot|778|4287|4|1033|6040|6512|40141|57|191|14|7|OK|N/A|10/14|4/8
server_097c.dot.kiss|1548861122307|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|server_097e.dot.ot|948|5484|1|948|5484|0|0|35|4|14|7|OK|N/A|14/14|4/8
server_097c.dot.kiss|1548861123526|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v2|server_097e.dot.ot|null|null|4|691|4037|6512|40141|89|144|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548861123613|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|server_098l.dot.ot|null|null|4|955|5522|6512|40141|53|149|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548861124442|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v0|server_098l.dot.ot|546|2408|4|892|4955|6512|40141|40|145|14|7|OK|N/A|10/11|4/7
server_097c.dot.kiss|1548861137332|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|server_098l.dot.ot|613|2781|3|878|4829|6511|40136|66|174|14|7|OK|N/A|11/11|4/7
server_097c.dot.kiss|1548861137591|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v2|server_098l.dot.ot|null|null|4|691|4037|6512|40141|115|180|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548861138315|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v0|server_098m.dot.ot|497|2065|4|871|4808|6512|40141|56|156|14|7|OK|N/A|10/10|4/7
server_097c.dot.kiss|1548861138538|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v0|server_098s.dot.ot|497|2065|4|871|4808|6512|40141|55|166|14|7|OK|N/A|10/10|4/7
server_097c.dot.kiss|1548861140313|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|server_098m.dot.ot|497|2065|4|871|4808|6512|40141|42|157|14|7|OK|N/A|10/10|4/7
server_097c.dot.kiss|1548861140703|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v0|server_098u.dot.ot|595|2751|6|1189|6788|6462|39958|68|324|14|7|OK|N/A|5/12|3/7
server_097c.dot.kiss|1548861140794|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|server_098s.dot.ot|497|2065|4|871|4808|6512|40141|97|312|14|7|OK|N/A|10/10|4/7
server_097c.dot.kiss|1548861141172|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|server_098m.dot.ot|null|null|4|955|5522|6512|40141|160|370|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548861141162|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v2|server_098s.dot.ot|null|null|4|688|4019|6512|40141|234|386|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548861141229|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v2|server_098m.dot.ot|null|null|4|688|4019|6512|40141|226|381|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548861141320|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|server_098u.dot.ot|null|null|4|955|5522|6512|40141|118|391|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548861141300|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|server_098u.dot.ot|595|2751|6|1189|6788|6462|39958|112|424|14|7|OK|N/A|5/12|3/7
server_097c.dot.kiss|1548861141353|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|server_098s.dot.ot|null|null|4|955|5522|6512|40141|151|404|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548861141468|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v2|server_098u.dot.ot|null|null|6|764|4535|6462|39958|150|350|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548861141598|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|server_098za.dot.ot|null|null|4|955|5522|6512|40141|110|343|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548861141752|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v0|server_098za.dot.ot|448|2016|7|1159|6750|6487|40062|111|282|14|7|OK|N/A|4/9|3/7
server_097c.dot.kiss|1548861141777|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|server_098za.dot.ot|546|2457|6|1118|6399|6491|40072|109|207|14|7|OK|N/A|6/9|3/7
server_097c.dot.kiss|1548861142433|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v2|server_098za.dot.ot|null|null|7|845|5089|6487|40062|46|183|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548861143296|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|server_100.dot.ot|null|null|4|955|5522|6512|40141|43|163|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548861144199|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v0|server_100.dot.ot|497|2065|4|871|4808|6512|40141|53|158|14|7|OK|N/A|10/10|4/7
server_097c.dot.kiss|1548861145188|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|server_100.dot.ot|497|2065|4|871|4808|6512|40141|55|153|14|7|OK|N/A|10/10|4/7
server_097c.dot.kiss|1548861146938|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v2|server_100.dot.ot|null|null|4|688|4019|6512|40141|94|137|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548861147908|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|server_101.dot.ot|null|null|4|955|5522|6512|40141|47|178|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548861149298|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v0|server_101.dot.ot|693|3486|6|1287|7523|6462|39958|42|158|14|7|OK|N/A|5/14|3/7
server_097c.dot.kiss|1548861149724|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|server_101.dot.ot|693|3486|6|1287|7523|6462|39958|43|140|14|7|OK|N/A|5/14|3/7
server_097c.dot.kiss|1548861150545|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v2|server_101.dot.ot|null|null|6|764|4535|6462|39958|47|141|14|7|OK|N/A|null|null
server_097c.dot.kiss|1548861151232|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|server_101k.dot.ot|null|null|4|955|5522|6512|40141|56|156|14|7|OK|N/A|null|null
