"","SUL","Reuse","Method","EqO","MQs","EQs","PrefIni","SuffIni","PrefEnd","SuffEnd"
"29","cli_098j","cli_098l","WpMethodHypEQOracle","DL*M",776,0,12,8,12,4
"30","cli_098j","cli_098l","WpMethodHypEQOracle","DL*M+",776,0,12,8,12,4
"33","cli_098j","cli_098m","WpMethodHypEQOracle","DL*M",776,0,12,8,12,4
"34","cli_098j","cli_098m","WpMethodHypEQOracle","DL*M+",776,0,12,8,12,4
"37","cli_098j","cli_098za","WpMethodHypEQOracle","DL*M",616,0,7,8,7,4
"38","cli_098j","cli_098za","WpMethodHypEQOracle","DL*M+",776,0,7,8,12,4
"41","cli_098j","cli_100m","WpMethodHypEQOracle","DL*M",616,0,7,8,7,4
"42","cli_098j","cli_100m","WpMethodHypEQOracle","DL*M+",776,0,7,8,12,4
"45","cli_098j","cli_101","WpMethodHypEQOracle","DL*M",776,0,12,8,12,4
"46","cli_098j","cli_101","WpMethodHypEQOracle","DL*M+",776,0,12,8,12,4
"49","cli_098j","cli_101h","WpMethodHypEQOracle","DL*M",616,0,7,8,7,4
"50","cli_098j","cli_101h","WpMethodHypEQOracle","DL*M+",776,0,7,8,12,4
"53","cli_098j","cli_102","WpMethodHypEQOracle","DL*M",616,0,7,8,7,4
"54","cli_098j","cli_102","WpMethodHypEQOracle","DL*M+",776,0,7,8,12,4
"57","cli_098j","cli_110-pre1","WpMethodHypEQOracle","DL*M",616,0,7,8,7,4
"59","cli_098j","cli_110-pre1","WpMethodHypEQOracle","DL*M+",776,0,7,8,12,4
"61","cli_098l","cli_098j","WpMethodHypEQOracle","DL*M",776,0,12,8,12,5
"62","cli_098l","cli_098j","WpMethodHypEQOracle","DL*M+",776,0,12,8,12,5
"65","cli_098l","cli_098m","WpMethodHypEQOracle","DL*M",776,0,12,8,12,5
"66","cli_098l","cli_098m","WpMethodHypEQOracle","DL*M+",776,0,12,8,12,5
"69","cli_098l","cli_098za","WpMethodHypEQOracle","DL*M",707,6,7,8,7,4
"70","cli_098l","cli_098za","WpMethodHypEQOracle","DL*M+",776,0,7,8,12,5
"73","cli_098l","cli_100m","WpMethodHypEQOracle","DL*M",707,6,7,8,7,4
"74","cli_098l","cli_100m","WpMethodHypEQOracle","DL*M+",776,0,7,8,12,5
"77","cli_098l","cli_101","WpMethodHypEQOracle","DL*M",776,0,12,8,12,5
"78","cli_098l","cli_101","WpMethodHypEQOracle","DL*M+",776,0,12,8,12,5
"81","cli_098l","cli_101h","WpMethodHypEQOracle","DL*M",707,6,7,8,7,4
"82","cli_098l","cli_101h","WpMethodHypEQOracle","DL*M+",776,0,7,8,12,5
"85","cli_098l","cli_102","WpMethodHypEQOracle","DL*M",707,6,7,8,7,4
"86","cli_098l","cli_102","WpMethodHypEQOracle","DL*M+",776,0,7,8,12,5
"89","cli_098l","cli_110-pre1","WpMethodHypEQOracle","DL*M",707,6,7,8,7,4
"90","cli_098l","cli_110-pre1","WpMethodHypEQOracle","DL*M+",776,0,7,8,12,5
"93","cli_098m","cli_098j","WpMethodHypEQOracle","DL*M",776,0,12,8,12,4
"94","cli_098m","cli_098j","WpMethodHypEQOracle","DL*M+",776,0,12,8,12,4
"97","cli_098m","cli_098l","WpMethodHypEQOracle","DL*M",776,0,12,8,12,4
"98","cli_098m","cli_098l","WpMethodHypEQOracle","DL*M+",776,0,12,8,12,4
"101","cli_098m","cli_098za","WpMethodHypEQOracle","DL*M",616,0,7,8,7,4
"102","cli_098m","cli_098za","WpMethodHypEQOracle","DL*M+",776,0,7,8,12,4
"105","cli_098m","cli_100m","WpMethodHypEQOracle","DL*M",616,0,7,8,7,4
"106","cli_098m","cli_100m","WpMethodHypEQOracle","DL*M+",776,0,7,8,12,4
"109","cli_098m","cli_101","WpMethodHypEQOracle","DL*M",776,0,12,8,12,4
"110","cli_098m","cli_101","WpMethodHypEQOracle","DL*M+",776,0,12,8,12,4
"113","cli_098m","cli_101h","WpMethodHypEQOracle","DL*M",616,0,7,8,7,4
"114","cli_098m","cli_101h","WpMethodHypEQOracle","DL*M+",776,0,7,8,12,4
"117","cli_098m","cli_102","WpMethodHypEQOracle","DL*M",616,0,7,8,7,4
"118","cli_098m","cli_102","WpMethodHypEQOracle","DL*M+",776,0,7,8,12,4
