"","SUL","Reuse","Method","EqO","MQs","EQs","PrefIni","SuffIni","PrefEnd","SuffEnd"
"41","srv_097c","srv_097","WpMethodHypEQOracle","DL*M",1189,6512,17,8,10,4
"43","srv_097c","srv_097","WpMethodHypEQOracle","DL*M+",1149,0,17,8,14,4
"45","srv_097c","srv_097e","WpMethodHypEQOracle","DL*M",1033,6512,14,8,10,4
"46","srv_097c","srv_097e","WpMethodHypEQOracle","DL*M+",948,0,14,8,14,4
"49","srv_097c","srv_098l","WpMethodHypEQOracle","DL*M",892,6512,11,7,10,4
"50","srv_097c","srv_098l","WpMethodHypEQOracle","DL*M+",878,6511,11,7,11,4
"52","srv_097c","srv_098m","WpMethodHypEQOracle","DL*M",871,6512,10,7,10,4
"53","srv_097c","srv_098s","WpMethodHypEQOracle","DL*M",871,6512,10,7,10,4
"54","srv_097c","srv_098m","WpMethodHypEQOracle","DL*M+",871,6512,10,7,10,4
"55","srv_097c","srv_098u","WpMethodHypEQOracle","DL*M",1189,6462,12,7,5,3
"56","srv_097c","srv_098s","WpMethodHypEQOracle","DL*M+",871,6512,10,7,10,4
"61","srv_097c","srv_098u","WpMethodHypEQOracle","DL*M+",1189,6462,12,7,5,3
"65","srv_097c","srv_098za","WpMethodHypEQOracle","DL*M",1159,6487,9,7,4,3
"66","srv_097c","srv_098za","WpMethodHypEQOracle","DL*M+",1118,6491,9,7,6,3
"69","srv_097c","srv_100","WpMethodHypEQOracle","DL*M",871,6512,10,7,10,4
"70","srv_097c","srv_100","WpMethodHypEQOracle","DL*M+",871,6512,10,7,10,4
"73","srv_097c","srv_101","WpMethodHypEQOracle","DL*M",1287,6462,14,7,5,3
"74","srv_097c","srv_101","WpMethodHypEQOracle","DL*M+",1287,6462,14,7,5,3
"77","srv_097c","srv_101k","WpMethodHypEQOracle","DL*M",1110,6487,8,7,4,3
"78","srv_097c","srv_101k","WpMethodHypEQOracle","DL*M+",1118,6491,8,7,6,3
"81","srv_097c","srv_102","WpMethodHypEQOracle","DL*M",806,6302,7,7,7,3
"82","srv_097c","srv_102","WpMethodHypEQOracle","DL*M+",871,6512,7,7,10,4
"85","srv_097c","srv_110pre1","WpMethodHypEQOracle","DL*M",785,5836,6,7,6,2
"86","srv_097c","srv_110pre1","WpMethodHypEQOracle","DL*M+",871,6512,6,7,10,4
"89","srv_097","srv_097c","WpMethodHypEQOracle","DL*M",1274,8680,14,8,10,4
"90","srv_097","srv_097c","WpMethodHypEQOracle","DL*M+",1149,0,14,8,17,5
"93","srv_097","srv_097e","WpMethodHypEQOracle","DL*M",1274,8680,14,8,10,4
"94","srv_097","srv_097e","WpMethodHypEQOracle","DL*M+",1149,0,14,8,17,5
"97","srv_097","srv_098l","WpMethodHypEQOracle","DL*M",1139,8680,11,7,10,4
"98","srv_097","srv_098l","WpMethodHypEQOracle","DL*M+",1100,7767,11,7,14,5
"101","srv_097","srv_098m","WpMethodHypEQOracle","DL*M",1118,8680,10,7,10,4
"102","srv_097","srv_098m","WpMethodHypEQOracle","DL*M+",1089,7768,10,7,12,5
"105","srv_097","srv_098s","WpMethodHypEQOracle","DL*M",1118,8680,10,7,10,4
"106","srv_097","srv_098s","WpMethodHypEQOracle","DL*M+",1089,7768,10,7,12,5
"109","srv_097","srv_098u","WpMethodHypEQOracle","DL*M",1331,7766,12,7,5,3
"110","srv_097","srv_098u","WpMethodHypEQOracle","DL*M+",1494,7772,12,7,7,3
"113","srv_097","srv_098za","WpMethodHypEQOracle","DL*M+",1318,7730,9,7,8,4
"114","srv_097","srv_098za","WpMethodHypEQOracle","DL*M",1438,7940,9,7,4,3
"117","srv_097","srv_100","WpMethodHypEQOracle","DL*M",1118,8680,10,7,10,4
"118","srv_097","srv_100","WpMethodHypEQOracle","DL*M+",1089,7768,10,7,12,5
"121","srv_097","srv_101","WpMethodHypEQOracle","DL*M",1429,7766,14,7,5,3
"122","srv_097","srv_101","WpMethodHypEQOracle","DL*M+",1592,7772,14,7,7,3
"125","srv_097","srv_101k","WpMethodHypEQOracle","DL*M",1389,7940,8,7,4,3
"126","srv_097","srv_101k","WpMethodHypEQOracle","DL*M+",1318,7730,8,7,8,4
"129","srv_097","srv_102","WpMethodHypEQOracle","DL*M",1051,8463,7,7,7,3
"130","srv_097","srv_102","WpMethodHypEQOracle","DL*M+",1089,7768,7,7,12,5
"133","srv_097","srv_110pre1","WpMethodHypEQOracle","DL*M",1030,8787,6,7,6,2
"134","srv_097","srv_110pre1","WpMethodHypEQOracle","DL*M+",1090,7768,6,7,12,5
"137","srv_097e","srv_097c","WpMethodHypEQOracle","DL*M",1033,6525,14,8,10,5
"138","srv_097e","srv_097c","WpMethodHypEQOracle","DL*M+",948,0,14,8,14,4
"141","srv_097e","srv_097","WpMethodHypEQOracle","DL*M",1189,6525,17,8,10,5
"142","srv_097e","srv_097","WpMethodHypEQOracle","DL*M+",1149,0,17,8,14,4
"145","srv_097e","srv_098l","WpMethodHypEQOracle","DL*M",913,6525,11,7,10,5
"146","srv_097e","srv_098l","WpMethodHypEQOracle","DL*M+",878,6524,11,7,11,4
"149","srv_097e","srv_098m","WpMethodHypEQOracle","DL*M",899,6525,10,7,10,5
"150","srv_097e","srv_098m","WpMethodHypEQOracle","DL*M+",899,6525,10,7,10,5
"153","srv_097e","srv_098s","WpMethodHypEQOracle","DL*M",899,6525,10,7,10,5
"154","srv_097e","srv_098s","WpMethodHypEQOracle","DL*M+",899,6525,10,7,10,5
"157","srv_097e","srv_098u","WpMethodHypEQOracle","DL*M",1213,6481,12,7,5,3
"158","srv_097e","srv_098u","WpMethodHypEQOracle","DL*M+",1213,6481,12,7,5,3
"161","srv_097e","srv_098za","WpMethodHypEQOracle","DL*M",1091,6481,9,7,4,3
"162","srv_097e","srv_098za","WpMethodHypEQOracle","DL*M+",1118,6504,9,7,6,3
"165","srv_097e","srv_100","WpMethodHypEQOracle","DL*M",899,6525,10,7,10,5
"166","srv_097e","srv_100","WpMethodHypEQOracle","DL*M+",899,6525,10,7,10,5
"169","srv_097e","srv_101","WpMethodHypEQOracle","DL*M",1311,6481,14,7,5,3
"170","srv_097e","srv_101","WpMethodHypEQOracle","DL*M+",1311,6481,14,7,5,3
"173","srv_097e","srv_101k","WpMethodHypEQOracle","DL*M",1042,6481,8,7,4,3
"174","srv_097e","srv_101k","WpMethodHypEQOracle","DL*M+",1118,6504,8,7,6,3
"177","srv_097e","srv_102","WpMethodHypEQOracle","DL*M",806,6306,7,7,7,4
"178","srv_097e","srv_102","WpMethodHypEQOracle","DL*M+",903,6525,7,7,10,5
"181","srv_097e","srv_110pre1","WpMethodHypEQOracle","DL*M",786,5855,6,7,6,3
"182","srv_097e","srv_110pre1","WpMethodHypEQOracle","DL*M+",900,6525,6,7,10,5
"185","srv_098l","srv_097c","WpMethodHypEQOracle","DL*M",778,0,14,8,11,4
"186","srv_098l","srv_097c","WpMethodHypEQOracle","DL*M+",778,0,14,8,11,4
"189","srv_098l","srv_097","WpMethodHypEQOracle","DL*M",943,0,17,8,11,4
"190","srv_098l","srv_097","WpMethodHypEQOracle","DL*M+",943,0,17,8,11,4
"193","srv_098l","srv_097e","WpMethodHypEQOracle","DL*M",778,0,14,8,11,4
"194","srv_098l","srv_097e","WpMethodHypEQOracle","DL*M+",778,0,14,8,11,4
"197","srv_098l","srv_098m","WpMethodHypEQOracle","DL*M",525,0,10,7,10,4
"198","srv_098l","srv_098m","WpMethodHypEQOracle","DL*M+",546,0,10,7,11,4
"201","srv_098l","srv_098s","WpMethodHypEQOracle","DL*M",525,0,10,7,10,4
"202","srv_098l","srv_098s","WpMethodHypEQOracle","DL*M+",546,0,10,7,11,4
"205","srv_098l","srv_098u","WpMethodHypEQOracle","DL*M",851,1097,12,7,5,3
"206","srv_098l","srv_098u","WpMethodHypEQOracle","DL*M+",889,0,12,7,11,4
"209","srv_098l","srv_098za","WpMethodHypEQOracle","DL*M",671,60,9,7,4,2
"210","srv_098l","srv_098za","WpMethodHypEQOracle","DL*M+",791,0,9,7,11,4
"213","srv_098l","srv_100","WpMethodHypEQOracle","DL*M",525,0,10,7,10,4
"214","srv_098l","srv_100","WpMethodHypEQOracle","DL*M+",546,0,10,7,11,4
"217","srv_098l","srv_101","WpMethodHypEQOracle","DL*M",949,1097,14,7,5,3
"218","srv_098l","srv_101","WpMethodHypEQOracle","DL*M+",987,0,14,7,11,4
"221","srv_098l","srv_101k","WpMethodHypEQOracle","DL*M",622,60,8,7,4,2
"222","srv_098l","srv_101k","WpMethodHypEQOracle","DL*M+",742,0,8,7,11,4
"225","srv_098l","srv_102","WpMethodHypEQOracle","DL*M",510,15,7,7,7,3
"226","srv_098l","srv_102","WpMethodHypEQOracle","DL*M+",546,0,7,7,11,4
"229","srv_098l","srv_110pre1","WpMethodHypEQOracle","DL*M+",546,0,6,7,11,4
"230","srv_098l","srv_110pre1","WpMethodHypEQOracle","DL*M",480,110,6,7,6,2
"233","srv_098m","srv_097c","WpMethodHypEQOracle","DL*M",778,0,14,8,10,4
"234","srv_098m","srv_097c","WpMethodHypEQOracle","DL*M+",778,0,14,8,10,4
"237","srv_098m","srv_097","WpMethodHypEQOracle","DL*M",943,0,17,8,10,4
"238","srv_098m","srv_097","WpMethodHypEQOracle","DL*M+",943,0,17,8,10,4
"241","srv_098m","srv_097e","WpMethodHypEQOracle","DL*M",778,0,14,8,10,4
"242","srv_098m","srv_097e","WpMethodHypEQOracle","DL*M+",778,0,14,8,10,4
"245","srv_098m","srv_098l","WpMethodHypEQOracle","DL*M",546,0,11,7,10,4
"246","srv_098m","srv_098l","WpMethodHypEQOracle","DL*M+",546,0,11,7,10,4
"249","srv_098m","srv_098s","WpMethodHypEQOracle","DL*M",497,0,10,7,10,4
"250","srv_098m","srv_098s","WpMethodHypEQOracle","DL*M+",497,0,10,7,10,4
"253","srv_098m","srv_098u","WpMethodHypEQOracle","DL*M",818,1276,12,7,5,3
"254","srv_098m","srv_098u","WpMethodHypEQOracle","DL*M+",818,1276,12,7,5,3
"257","srv_098m","srv_098za","WpMethodHypEQOracle","DL*M",694,1276,9,7,4,3
"258","srv_098m","srv_098za","WpMethodHypEQOracle","DL*M+",717,1329,9,7,6,3
"261","srv_098m","srv_100","WpMethodHypEQOracle","DL*M",497,0,10,7,10,4
"262","srv_098m","srv_100","WpMethodHypEQOracle","DL*M+",497,0,10,7,10,4
"265","srv_098m","srv_101","WpMethodHypEQOracle","DL*M",916,1276,14,7,5,3
"267","srv_098m","srv_101","WpMethodHypEQOracle","DL*M+",916,1276,14,7,5,3
"269","srv_098m","srv_101k","WpMethodHypEQOracle","DL*M",645,1276,8,7,4,3
"270","srv_098m","srv_101k","WpMethodHypEQOracle","DL*M+",717,1329,8,7,6,3
"273","srv_098m","srv_102","WpMethodHypEQOracle","DL*M",434,105,7,7,7,3
"274","srv_098m","srv_102","WpMethodHypEQOracle","DL*M+",497,0,7,7,10,4
"277","srv_098m","srv_110pre1","WpMethodHypEQOracle","DL*M",413,107,6,7,6,2
"278","srv_098m","srv_110pre1","WpMethodHypEQOracle","DL*M+",497,0,6,7,10,4
"281","srv_098s","srv_097c","WpMethodHypEQOracle","DL*M",778,0,14,8,10,4
"282","srv_098s","srv_097c","WpMethodHypEQOracle","DL*M+",778,0,14,8,10,4
"285","srv_098s","srv_097","WpMethodHypEQOracle","DL*M",943,0,17,8,10,4
"286","srv_098s","srv_097","WpMethodHypEQOracle","DL*M+",943,0,17,8,10,4
"289","srv_098s","srv_097e","WpMethodHypEQOracle","DL*M",778,0,14,8,10,4
"290","srv_098s","srv_097e","WpMethodHypEQOracle","DL*M+",778,0,14,8,10,4
"293","srv_098s","srv_098l","WpMethodHypEQOracle","DL*M",546,0,11,7,10,4
"294","srv_098s","srv_098l","WpMethodHypEQOracle","DL*M+",546,0,11,7,10,4
"297","srv_098s","srv_098m","WpMethodHypEQOracle","DL*M",497,0,10,7,10,4
"298","srv_098s","srv_098m","WpMethodHypEQOracle","DL*M+",497,0,10,7,10,4
"301","srv_098s","srv_098u","WpMethodHypEQOracle","DL*M",818,1097,12,7,5,3
"302","srv_098s","srv_098u","WpMethodHypEQOracle","DL*M+",840,0,12,7,10,4
"305","srv_098s","srv_098za","WpMethodHypEQOracle","DL*M",643,60,9,7,4,2
"306","srv_098s","srv_098za","WpMethodHypEQOracle","DL*M+",742,0,9,7,10,4
"309","srv_098s","srv_100","WpMethodHypEQOracle","DL*M",497,0,10,7,10,4
"310","srv_098s","srv_100","WpMethodHypEQOracle","DL*M+",497,0,10,7,10,4
"313","srv_098s","srv_101","WpMethodHypEQOracle","DL*M",916,1097,14,7,5,3
"314","srv_098s","srv_101","WpMethodHypEQOracle","DL*M+",938,0,14,7,10,4
"317","srv_098s","srv_101k","WpMethodHypEQOracle","DL*M",594,60,8,7,4,2
"318","srv_098s","srv_101k","WpMethodHypEQOracle","DL*M+",693,0,8,7,10,4
"321","srv_098s","srv_102","WpMethodHypEQOracle","DL*M",482,15,7,7,7,3
"322","srv_098s","srv_102","WpMethodHypEQOracle","DL*M+",497,0,7,7,10,4
"325","srv_098s","srv_110pre1","WpMethodHypEQOracle","DL*M",452,96,6,7,6,2
"326","srv_098s","srv_110pre1","WpMethodHypEQOracle","DL*M+",497,0,6,7,10,4
"329","srv_098u","srv_097c","WpMethodHypEQOracle","DL*M",834,0,14,8,10,4
"330","srv_098u","srv_097c","WpMethodHypEQOracle","DL*M+",888,0,14,8,12,4
"333","srv_098u","srv_097","WpMethodHypEQOracle","DL*M",999,0,17,8,10,4
"334","srv_098u","srv_097","WpMethodHypEQOracle","DL*M+",1053,0,17,8,12,4
"337","srv_098u","srv_097e","WpMethodHypEQOracle","DL*M",834,0,14,8,10,4
"338","srv_098u","srv_097e","WpMethodHypEQOracle","DL*M+",888,0,14,8,12,4
"341","srv_098u","srv_098l","WpMethodHypEQOracle","DL*M",602,0,11,7,10,4
"342","srv_098u","srv_098l","WpMethodHypEQOracle","DL*M+",644,0,11,7,12,4
"345","srv_098u","srv_098m","WpMethodHypEQOracle","DL*M",553,0,10,7,10,4
"346","srv_098u","srv_098m","WpMethodHypEQOracle","DL*M+",595,0,10,7,12,4
"349","srv_098u","srv_098s","WpMethodHypEQOracle","DL*M",553,0,10,7,10,4
"350","srv_098u","srv_098s","WpMethodHypEQOracle","DL*M+",595,0,10,7,12,4
"353","srv_098u","srv_098za","WpMethodHypEQOracle","DL*M",532,116,9,7,9,3
"354","srv_098u","srv_098za","WpMethodHypEQOracle","DL*M+",595,0,9,7,12,4
"357","srv_098u","srv_100","WpMethodHypEQOracle","DL*M",553,0,10,7,10,4
"358","srv_098u","srv_100","WpMethodHypEQOracle","DL*M+",595,0,10,7,12,4
"361","srv_098u","srv_101","WpMethodHypEQOracle","DL*M",693,0,14,7,12,4
"362","srv_098u","srv_101","WpMethodHypEQOracle","DL*M+",693,0,14,7,12,4
"365","srv_098u","srv_101k","WpMethodHypEQOracle","DL*M",511,116,8,7,8,3
"366","srv_098u","srv_101k","WpMethodHypEQOracle","DL*M+",595,0,8,7,12,4
"369","srv_098u","srv_102","WpMethodHypEQOracle","DL*M",490,116,7,7,7,3
"370","srv_098u","srv_102","WpMethodHypEQOracle","DL*M+",595,0,7,7,12,4
"373","srv_098u","srv_110pre1","WpMethodHypEQOracle","DL*M",469,118,6,7,6,2
"374","srv_098u","srv_110pre1","WpMethodHypEQOracle","DL*M+",595,0,6,7,12,4
"377","srv_098za","srv_097c","WpMethodHypEQOracle","DL*M",799,0,14,8,8,3
"378","srv_098za","srv_097c","WpMethodHypEQOracle","DL*M+",833,0,14,8,9,3
"381","srv_098za","srv_097","WpMethodHypEQOracle","DL*M",964,0,17,8,8,3
"382","srv_098za","srv_097","WpMethodHypEQOracle","DL*M+",998,0,17,8,9,3
"385","srv_098za","srv_097e","WpMethodHypEQOracle","DL*M",799,0,14,8,8,3
"386","srv_098za","srv_097e","WpMethodHypEQOracle","DL*M+",833,0,14,8,9,3
"389","srv_098za","srv_098l","WpMethodHypEQOracle","DL*M",567,0,11,7,8,3
"390","srv_098za","srv_098l","WpMethodHypEQOracle","DL*M+",595,0,11,7,9,3
"393","srv_098za","srv_098m","WpMethodHypEQOracle","DL*M",518,0,10,7,8,3
"394","srv_098za","srv_098m","WpMethodHypEQOracle","DL*M+",546,0,10,7,9,3
"397","srv_098za","srv_098s","WpMethodHypEQOracle","DL*M",518,0,10,7,8,3
"398","srv_098za","srv_098s","WpMethodHypEQOracle","DL*M+",546,0,10,7,9,3
"401","srv_098za","srv_098u","WpMethodHypEQOracle","DL*M",595,0,12,7,9,3
"402","srv_098za","srv_098u","WpMethodHypEQOracle","DL*M+",595,0,12,7,9,3
"405","srv_098za","srv_100","WpMethodHypEQOracle","DL*M",518,0,10,7,8,3
"406","srv_098za","srv_100","WpMethodHypEQOracle","DL*M+",546,0,10,7,9,3
"409","srv_098za","srv_101","WpMethodHypEQOracle","DL*M",693,0,14,7,9,3
"410","srv_098za","srv_101","WpMethodHypEQOracle","DL*M+",693,0,14,7,9,3
"413","srv_098za","srv_101k","WpMethodHypEQOracle","DL*M",420,0,8,7,8,3
"414","srv_098za","srv_101k","WpMethodHypEQOracle","DL*M+",448,0,8,7,9,3
"417","srv_098za","srv_102","WpMethodHypEQOracle","DL*M",392,0,7,7,7,3
"418","srv_098za","srv_102","WpMethodHypEQOracle","DL*M+",448,0,7,7,9,3
"421","srv_098za","srv_110pre1","WpMethodHypEQOracle","DL*M",364,68,6,7,6,2
"422","srv_098za","srv_110pre1","WpMethodHypEQOracle","DL*M+",448,0,6,7,9,3
"425","srv_100","srv_097c","WpMethodHypEQOracle","DL*M",778,0,14,8,10,4
"426","srv_100","srv_097c","WpMethodHypEQOracle","DL*M+",778,0,14,8,10,4
"429","srv_100","srv_097","WpMethodHypEQOracle","DL*M",943,0,17,8,10,4
"430","srv_100","srv_097","WpMethodHypEQOracle","DL*M+",943,0,17,8,10,4
"433","srv_100","srv_097e","WpMethodHypEQOracle","DL*M",778,0,14,8,10,4
"434","srv_100","srv_097e","WpMethodHypEQOracle","DL*M+",778,0,14,8,10,4
"437","srv_100","srv_098l","WpMethodHypEQOracle","DL*M",546,0,11,7,10,4
"438","srv_100","srv_098l","WpMethodHypEQOracle","DL*M+",546,0,11,7,10,4
"441","srv_100","srv_098m","WpMethodHypEQOracle","DL*M",497,0,10,7,10,4
"442","srv_100","srv_098m","WpMethodHypEQOracle","DL*M+",497,0,10,7,10,4
"445","srv_100","srv_098s","WpMethodHypEQOracle","DL*M",497,0,10,7,10,4
"446","srv_100","srv_098s","WpMethodHypEQOracle","DL*M+",497,0,10,7,10,4
"449","srv_100","srv_098u","WpMethodHypEQOracle","DL*M",818,1276,12,7,5,3
"450","srv_100","srv_098u","WpMethodHypEQOracle","DL*M+",818,1276,12,7,5,3
"453","srv_100","srv_098za","WpMethodHypEQOracle","DL*M",694,1276,9,7,4,3
"454","srv_100","srv_098za","WpMethodHypEQOracle","DL*M+",717,1329,9,7,6,3
"457","srv_100","srv_101","WpMethodHypEQOracle","DL*M",916,1276,14,7,5,3
"458","srv_100","srv_101","WpMethodHypEQOracle","DL*M+",916,1276,14,7,5,3
"461","srv_100","srv_101k","WpMethodHypEQOracle","DL*M",645,1276,8,7,4,3
"462","srv_100","srv_101k","WpMethodHypEQOracle","DL*M+",717,1329,8,7,6,3
"465","srv_100","srv_102","WpMethodHypEQOracle","DL*M",434,105,7,7,7,3
"466","srv_100","srv_102","WpMethodHypEQOracle","DL*M+",497,0,7,7,10,4
"469","srv_100","srv_110pre1","WpMethodHypEQOracle","DL*M",413,107,6,7,6,2
"470","srv_100","srv_110pre1","WpMethodHypEQOracle","DL*M+",497,0,6,7,10,4
"473","srv_101","srv_097c","WpMethodHypEQOracle","DL*M",890,0,14,8,10,4
"474","srv_101","srv_097c","WpMethodHypEQOracle","DL*M+",998,0,14,8,14,4
"477","srv_101","srv_097","WpMethodHypEQOracle","DL*M",1055,0,17,8,10,4
"478","srv_101","srv_097","WpMethodHypEQOracle","DL*M+",1163,0,17,8,14,4
"481","srv_101","srv_097e","WpMethodHypEQOracle","DL*M",890,0,14,8,10,4
"482","srv_101","srv_097e","WpMethodHypEQOracle","DL*M+",998,0,14,8,14,4
