"SUL"	"Reuse"	"Method"	"N"	"EQ_Resets"	"sd"	"se"	"ci"
"srv_097"	"null"	"L*M"	73	10379	0	0	0
"srv_097"	"srv_097c"	"∂L*M"	500	10379	0	0	0
"srv_097"	"srv_097c"	"DL*M+"	500	10386.45	22.5180288490466	1.00703686451539	1.97855492552147
"srv_097"	"srv_097c"	"DL*M"	500	11879.64	73.3583894766865	3.28068691179552	6.4456619982333
"srv_097"	"srv_097c"	"Adp"	500	10379	0	0	0
"srv_097"	"srv_097e"	"∂L*M"	500	10379	0	0	0
"srv_097"	"srv_097e"	"DL*M+"	500	10385.82	21.8820760098534	0.978596188936991	1.92267669431305
"srv_097"	"srv_097e"	"DL*M"	500	11863.384	172.237138293735	7.70267898949648	15.1336798000071
"srv_097"	"srv_097e"	"Adp"	500	10379	0	0	0
"srv_097"	"srv_098f"	"∂L*M"	500	10379	0	0	0
"srv_097"	"srv_098f"	"DL*M+"	500	10389.852	25.41247102048	1.13648025356073	2.23287615644791
"srv_097"	"srv_098f"	"DL*M"	500	11881.794	74.239521665716	3.32009234123219	6.523083003612
"srv_097"	"srv_098f"	"Adp"	500	10379	0	0	0
"srv_097"	"srv_098l"	"∂L*M"	500	10379	0	0	0
"srv_097"	"srv_098l"	"DL*M+"	500	10327.458	24.5173905806014	1.09645103938276	2.1542295828543
"srv_097"	"srv_098l"	"DL*M"	500	11879.126	102.111211544306	4.56655220555861	8.97203933374065
"srv_097"	"srv_098l"	"Adp"	500	10379	0	0	0
"srv_097"	"srv_098m"	"∂L*M"	500	10379	0	0	0
"srv_097"	"srv_098m"	"DL*M+"	500	10329.482	25.863865819135	1.15666724265038	2.2725381272279
"srv_097"	"srv_098m"	"DL*M"	500	11869.736	158.463938938447	7.08672278897486	13.9234925492811
"srv_097"	"srv_098m"	"Adp"	500	10379	0	0	0
"srv_097"	"srv_098s"	"∂L*M"	500	10379	0	0	0
"srv_097"	"srv_098s"	"DL*M+"	500	10327.214	24.1224374385333	1.07878819791093	2.11952687908624
"srv_097"	"srv_098s"	"DL*M"	500	11882.392	21.069460846465	0.94225493403932	1.85127596271022
"srv_097"	"srv_098s"	"Adp"	500	10379	0	0	0
"srv_097"	"srv_098u"	"∂L*M"	500	10363.64	15.0106975881925	0.671298803937812	1.3189204902315
"srv_097"	"srv_098u"	"DL*M+"	500	10312.834	48.1730186250238	2.15436288653834	4.23274008203494
"srv_097"	"srv_098u"	"DL*M"	500	11051.408	780.989992427909	34.926934256317	68.6219742704807
"srv_097"	"srv_098u"	"Adp"	500	10379	0	0	0
"srv_097"	"srv_098za"	"∂L*M"	500	10361.44	12.6104896375119	0.563958241180667	1.10802533173738
"srv_097"	"srv_098za"	"DL*M+"	500	10324.78	234.405237207834	10.4829208935736	20.596102783003
"srv_097"	"srv_098za"	"DL*M"	500	11121.186	712.593822113712	31.8681645318531	62.6123194925631
"srv_097"	"srv_098za"	"Adp"	500	10379	0	0	0
"srv_097"	"srv_100"	"∂L*M"	500	10379	0	0	0
"srv_097"	"srv_100"	"DL*M+"	500	10328.6	25.2252378631105	1.12810693221033	2.21642484589059
"srv_097"	"srv_100"	"DL*M"	500	11877.98	101.977735398635	4.5605829708567	8.96031140288011
"srv_097"	"srv_100"	"Adp"	500	10379	0	0	0
"srv_097"	"srv_100f"	"∂L*M"	500	10379	0	0	0
"srv_097"	"srv_100f"	"DL*M+"	500	10327.214	24.1224374385333	1.07878819791093	2.11952687908624
"srv_097"	"srv_100f"	"DL*M"	500	11871.03	141.749055338576	6.33921046966872	12.454833125415
"srv_097"	"srv_100f"	"Adp"	500	10379	0	0	0
"srv_097"	"srv_100h"	"∂L*M"	500	10363.76	15.0131004916621	0.67140626504784	1.31913162223276
"srv_097"	"srv_100h"	"DL*M+"	500	10317.212	50.323154668518	2.25051989362084	4.42166257999935
"srv_097"	"srv_100h"	"DL*M"	500	11063.818	780.36115224418	34.898811668361	68.5667209953729
"srv_097"	"srv_100h"	"Adp"	500	10379	0	0	0
"srv_097"	"srv_100m"	"∂L*M"	500	10362.092	12.4893355710387	0.558540066612973	1.09738008491873
"srv_097"	"srv_100m"	"DL*M+"	500	10311.246	134.520902578227	6.01595765119086	11.8197288122319
"srv_097"	"srv_100m"	"DL*M"	500	11183.622	715.0263158659	31.9769489595478	62.8260514549367
"srv_097"	"srv_100m"	"Adp"	500	10379	0	0	0
"srv_097"	"srv_101"	"∂L*M"	500	10363.88	15.0145420491566	0.671470733458863	1.31925828521469
"srv_097"	"srv_101"	"DL*M+"	500	10312.67	47.6478092618633	2.13087480976941	4.18659236726926
"srv_097"	"srv_101"	"DL*M"	500	11087.308	780.956956991451	34.9254568666853	68.6190715996493
"srv_097"	"srv_101"	"Adp"	500	10379	0	0	0
"srv_097"	"srv_101h"	"∂L*M"	500	10360.724	12.3975490499086	0.554435248599672	1.08931522832334
"srv_097"	"srv_101h"	"DL*M+"	500	10320.556	211.103273418714	9.44082539273936	18.5486671242979
"srv_097"	"srv_101h"	"DL*M"	500	11075.046	713.225210073627	31.8964010598239	62.667796628967
"srv_097"	"srv_101h"	"Adp"	500	10379	0	0	0
"srv_097"	"srv_101k"	"∂L*M"	500	10361.38	12.408204022102	0.554911753442128	1.09025143139226
"srv_097"	"srv_101k"	"DL*M+"	500	10310.476	170.064697767802	7.60552449563522	14.9427975104513
"srv_097"	"srv_101k"	"DL*M"	500	11129.198	714.60730334358	31.9582101498812	62.7892347648326
"srv_097"	"srv_101k"	"Adp"	500	10379	0	0	0
"srv_097"	"srv_102"	"∂L*M"	500	10374.08	0.628003803774396	0.0280851839073598	0.0551797862740842
"srv_097"	"srv_102"	"DL*M+"	500	10377.442	282.587838395104	12.6377123253236	24.8296848404106
"srv_097"	"srv_102"	"DL*M"	500	11828.894	278.534669094846	12.4564490837297	24.4735516221454
"srv_097"	"srv_102"	"Adp"	500	10379	0	0	0
"srv_097"	"srv_110pre1"	"∂L*M"	500	10374.11	0.734151180556038	0.0328322389097004	0.064506464757818
"srv_097"	"srv_110pre1"	"DL*M+"	500	10370.114	245.564241283609	10.9819667270662	21.5765927995158
"srv_097"	"srv_110pre1"	"DL*M"	500	12276.84	195.310611257401	8.73455606997167	17.1610390279033
"srv_097"	"srv_110pre1"	"Adp"	500	10379	0	0	0
"srv_097c"	"null"	"L*M"	73	8863	0	0	0
"srv_097c"	"srv_097"	"∂L*M"	500	8852.794	10.5063948462511	0.469860261493416	0.923148265413275
"srv_097c"	"srv_097"	"DL*M+"	500	8726.168	125.0439112291	5.59213371361432	10.9870294654712
"srv_097c"	"srv_097"	"DL*M"	500	8676.158	133.867389576341	5.98673166126292	11.7623076508398
"srv_097c"	"srv_097"	"Adp"	500	8863	0	0	0
"srv_097c"	"srv_097e"	"∂L*M"	500	8863	0	0	0
"srv_097c"	"srv_097e"	"DL*M+"	500	8826.06	11.2190969455008	0.501733268326	0.985770098716405
"srv_097c"	"srv_097e"	"DL*M"	500	8706.156	126.683910938134	5.66547673026395	11.1311286459064
"srv_097c"	"srv_097e"	"Adp"	500	8863	0	0	0
"srv_097c"	"srv_098f"	"∂L*M"	500	8863	0	0	0
"srv_097c"	"srv_098f"	"DL*M+"	500	8827.81	13.0358646638829	0.582981590678591	1.14540106561098
"srv_097c"	"srv_098f"	"DL*M"	500	8704.49	128.591529514684	5.75078802651008	11.2987422570244
"srv_097c"	"srv_098f"	"Adp"	500	8863	0	0	0
"srv_097c"	"srv_098l"	"∂L*M"	500	8863	0	0	0
"srv_097c"	"srv_098l"	"DL*M+"	500	8695.658	128.944524570971	5.76657444534165	11.3297582980813
"srv_097c"	"srv_098l"	"DL*M"	500	8692.222	127.899857165385	5.71985549868628	11.2379682104715
"srv_097c"	"srv_098l"	"Adp"	500	8863	0	0	0
"srv_097c"	"srv_098m"	"∂L*M"	500	8863	0	0	0
"srv_097c"	"srv_098m"	"DL*M+"	500	8701.284	128.741944682536	5.75751479731338	11.3119585413281
"srv_097c"	"srv_098m"	"DL*M"	500	8701.284	128.741944682536	5.75751479731338	11.3119585413281
"srv_097c"	"srv_098m"	"Adp"	500	8863	0	0	0
"srv_097c"	"srv_098s"	"∂L*M"	500	8863	0	0	0
"srv_097c"	"srv_098s"	"DL*M+"	500	8707.974	128.127853402901	5.73005180040029	11.2580011841284
"srv_097c"	"srv_098s"	"DL*M"	500	8700.054	126.445371397674	5.65480891770815	11.1101692810405
"srv_097c"	"srv_098s"	"Adp"	500	8863	0	0	0
"srv_097c"	"srv_098u"	"∂L*M"	500	8852.248	10.5074883117348	0.469909162756468	0.92324434316205
"srv_097c"	"srv_098u"	"DL*M+"	500	8665.606	128.390353725892	5.74179117172677	11.2810658720052
"srv_097c"	"srv_098u"	"DL*M"	500	8664.478	128.329085652664	5.73905118019501	11.2756825301117
"srv_097c"	"srv_098u"	"Adp"	500	8863	0	0	0
"srv_097c"	"srv_098za"	"∂L*M"	500	8850.366	8.63511287411447	0.386173987598071	0.758727383468844
"srv_097c"	"srv_098za"	"DL*M+"	500	8689.904	136.631589196396	6.11035042633934	12.005185071863
"srv_097c"	"srv_098za"	"DL*M"	500	8740.038	100.655668908247	4.50145835999107	8.84414754218169
"srv_097c"	"srv_098za"	"Adp"	500	8863	0	0	0
"srv_097c"	"srv_100"	"∂L*M"	500	8863	0	0	0
"srv_097c"	"srv_100"	"DL*M+"	500	8702.188	128.162630965317	5.73160710027334	11.2610569275008
"srv_097c"	"srv_100"	"DL*M"	500	8702.188	128.162630965317	5.73160710027334	11.2610569275008
"srv_097c"	"srv_100"	"Adp"	500	8863	0	0	0
"srv_097c"	"srv_100f"	"∂L*M"	500	8863	0	0	0
