"SUL"	"Reuse"	"Method"	"N"	"MQ_Resets"	"sd"	"se"	"ci"
"srv_097"	"null"	"L*M"	73	1146	0	0	0
"srv_097"	"srv_097c"	"∂L*M"	500	1028.96	8.84550087736941	0.395582825136641	0.777213203115901
"srv_097"	"srv_097c"	"DL*M+"	500	1149	0	0	0
"srv_097"	"srv_097c"	"DL*M"	500	1226.328	20.8406593505179	0.932022620073492	1.83117223472374
"srv_097"	"srv_097c"	"Adp"	500	1146	0	0	0
"srv_097"	"srv_097e"	"∂L*M"	500	1028.736	8.48541740972325	0.379479402912028	0.745574336175719
"srv_097"	"srv_097e"	"DL*M+"	500	1149	0	0	0
"srv_097"	"srv_097e"	"DL*M"	500	1226.724	20.0781994258541	0.897924375640141	1.76417841170445
"srv_097"	"srv_097e"	"Adp"	500	1146	0	0	0
"srv_097"	"srv_098f"	"∂L*M"	500	1029.996	8.86550496907612	0.396477435314328	0.77897087002548
"srv_097"	"srv_098f"	"DL*M+"	500	1149	0	0	0
"srv_097"	"srv_098f"	"DL*M"	500	1224.49	20.184169574268	0.902663504748924	1.77348951795217
"srv_097"	"srv_098f"	"Adp"	500	1146	0	0	0
"srv_097"	"srv_098l"	"∂L*M"	500	1036.94	5.70802620230956	0.255270692114283	0.501537831454701
"srv_097"	"srv_098l"	"DL*M+"	500	1138.45	24.0214395721455	1.07427143601441	2.11065266423607
"srv_097"	"srv_098l"	"DL*M"	500	1181.102	28.090884492717	1.2562625454762	2.46821594589409
"srv_097"	"srv_098l"	"Adp"	500	1146	0	0	0
"srv_097"	"srv_098m"	"∂L*M"	500	1036.996	5.74752573758556	0.257037165033419	0.50500847271731
"srv_097"	"srv_098m"	"DL*M+"	500	1103.51	14.3688143439639	0.642592912583546	1.26252118179328
"srv_097"	"srv_098m"	"DL*M"	500	1145.446	18.462416028549	0.825664345374344	1.62220700644758
"srv_097"	"srv_098m"	"Adp"	500	1146	0	0	0
"srv_097"	"srv_098s"	"∂L*M"	500	1036.072	4.97637867222529	0.222550419857518	0.437251350870716
"srv_097"	"srv_098s"	"DL*M+"	500	1106.18	12.7559016165892	0.57046126257986	1.1208020090106
"srv_097"	"srv_098s"	"DL*M"	500	1150.192	21.6077051498693	0.9663259510576	1.898568997317
"srv_097"	"srv_098s"	"Adp"	500	1146	0	0	0
"srv_097"	"srv_098u"	"∂L*M"	500	1006.218	23.5693339533813	1.05405265808309	2.07092823698454
"srv_097"	"srv_098u"	"DL*M+"	500	1391.756	143.395330836857	6.41283414814567	12.5994837303913
"srv_097"	"srv_098u"	"DL*M"	500	1343.394	63.8152610202149	2.85390523286186	5.60715149009726
"srv_097"	"srv_098u"	"Adp"	500	1146	0	0	0
"srv_097"	"srv_098za"	"∂L*M"	500	1001.738	42.1613628460237	1.88551346695486	3.70452372562931
"srv_097"	"srv_098za"	"DL*M+"	500	1257.976	106.870154317132	4.77937859637998	9.39018559896523
"srv_097"	"srv_098za"	"DL*M"	500	1320.324	106.95159799005	4.78302086815963	9.39734167738068
"srv_097"	"srv_098za"	"Adp"	500	1146	0	0	0
"srv_097"	"srv_100"	"∂L*M"	500	1036.8	5.60560841402454	0.250690429380073	0.492538854642354
"srv_097"	"srv_100"	"DL*M+"	500	1104	14.0140210350614	0.626726073450183	1.23134713660588
"srv_097"	"srv_100"	"DL*M"	500	1146.224	17.7515085587739	0.793871596811757	1.55974285892639
"srv_097"	"srv_100"	"Adp"	500	1146	0	0	0
"srv_097"	"srv_100f"	"∂L*M"	500	1036.156	5.05834337262218	0.226215992694375	0.444453209558094
"srv_097"	"srv_100f"	"DL*M+"	500	1105.898	12.8999384814677	0.576902787002544	1.13345786136661
"srv_097"	"srv_100f"	"DL*M"	500	1149.062	21.3077967045117	0.952913637640685	1.87221743094565
"srv_097"	"srv_100f"	"Adp"	500	1146	0	0	0
"srv_097"	"srv_100h"	"∂L*M"	500	1006.774	22.5678874307316	1.00926660807358	1.98293576822461
"srv_097"	"srv_100h"	"DL*M+"	500	1393.85	139.006781383287	6.21657225012966	12.2138822110282
"srv_097"	"srv_100h"	"DL*M"	500	1347.41	61.4536492163322	2.74829074226291	5.39964759630331
"srv_097"	"srv_100h"	"Adp"	500	1146	0	0	0
"srv_097"	"srv_100m"	"∂L*M"	500	1005.324	42.2140625639882	1.88787026999013	3.70915420582148
"srv_097"	"srv_100m"	"DL*M+"	500	1250.288	104.988791538418	4.69524149510915	9.22487896322592
"srv_097"	"srv_100m"	"DL*M"	500	1312.956	106.97089140142	4.78388369574647	9.39903690009989
"srv_097"	"srv_100m"	"Adp"	500	1146	0	0	0
"srv_097"	"srv_101"	"∂L*M"	500	1007.204	23.746709169752	1.06198511890966	2.08651337591337
"srv_097"	"srv_101"	"DL*M+"	500	1484.616	147.673652217036	6.60416649685912	12.9754000193553
"srv_097"	"srv_101"	"DL*M"	500	1433.92	67.4314734171991	3.01562716767654	5.92489132859506
"srv_097"	"srv_101"	"Adp"	500	1146	0	0	0
"srv_097"	"srv_101h"	"∂L*M"	500	999.656	42.2882756863063	1.89118918171665	3.71567496923665
"srv_097"	"srv_101h"	"DL*M+"	500	1266.242	108.135739291986	4.83597727708153	9.5013866904307
"srv_097"	"srv_101h"	"DL*M"	500	1325.394	106.60792307575	4.76765125874891	9.36714455404344
"srv_097"	"srv_101h"	"Adp"	500	1146	0	0	0
"srv_097"	"srv_101k"	"∂L*M"	500	992.2	31.8397792562413	1.42391821611086	2.79761396955577
"srv_097"	"srv_101k"	"DL*M+"	500	1259.856	106.90296418483	4.7808458982701	9.3930684501142
"srv_097"	"srv_101k"	"DL*M"	500	1283.98	93.8947498430886	4.19910086758968	8.25009689027534
"srv_097"	"srv_101k"	"Adp"	500	1146	0	0	0
"srv_097"	"srv_102"	"∂L*M"	500	1024.12	8.03459453979089	0.359317991252422	0.70596261812429
"srv_097"	"srv_102"	"DL*M+"	500	1105.008	13.4935572839912	0.603450226905836	1.18561639680009
"srv_097"	"srv_102"	"DL*M"	500	1143.494	5.85683951788646	0.261925825906025	0.514613368416291
"srv_097"	"srv_102"	"Adp"	500	1146	0	0	0
"srv_097"	"srv_110pre1"	"∂L*M"	500	1079.99	6.15708692799426	0.27535329828741	0.540994718050675
"srv_097"	"srv_110pre1"	"DL*M+"	500	1111.034	6.90102109722675	0.308623045751184	0.606360768723489
"srv_097"	"srv_110pre1"	"DL*M"	500	1120.156	12.5490486190183	0.561210515301495	1.10262679394419
"srv_097"	"srv_110pre1"	"Adp"	500	1146	0	0	0
"srv_097c"	"null"	"L*M"	73	945	0	0	0
