"Control"	"Treatment"	"DeltaQ"	"Measure"	"Wilcox"	"VD"	"VD.magnitude"
"∂L*M"	"DL*M"	0	"TQ_Resets_Diff"	0	0.0215626171875	"large"
"∂L*M"	"DL*M"	0	"EQ_Resets_Diff"	0	0.60769328125	"small"
"∂L*M"	"DL*M"	0	"MQ_Resets_Diff"	0	0.0215626171875	"large"
"∂L*M"	"DL*M"	3	"TQ_Resets_Diff"	0	0	"large"
"∂L*M"	"DL*M"	3	"EQ_Resets_Diff"	5.60324205454004e-111	0.575225041322314	"small"
"∂L*M"	"DL*M"	3	"MQ_Resets_Diff"	0	0	"large"
"∂L*M"	"DL*M"	-3	"TQ_Resets_Diff"	0	0.272160958677686	"medium"
"∂L*M"	"DL*M"	-3	"EQ_Resets_Diff"	0	0.291267107438017	"medium"
"∂L*M"	"DL*M"	-3	"MQ_Resets_Diff"	0	0.272160958677686	"medium"
"∂L*M"	"DL*M"	-4	"TQ_Resets_Diff"	7.87952589557374e-212	0.383894321361059	"small"
"∂L*M"	"DL*M"	-4	"EQ_Resets_Diff"	3.08073673164071e-32	0.456455848771267	"negligible"
"∂L*M"	"DL*M"	-4	"MQ_Resets_Diff"	7.87952589557374e-212	0.383894321361059	"small"
"∂L*M"	"DL*M"	-2	"TQ_Resets_Diff"	0	0.0922889355281207	"large"
"∂L*M"	"DL*M"	-2	"EQ_Resets_Diff"	8.22199651721398e-44	0.453429105624143	"negligible"
"∂L*M"	"DL*M"	-2	"MQ_Resets_Diff"	0	0.0922889355281207	"large"
"∂L*M"	"DL*M"	-5	"TQ_Resets_Diff"	0	0.289817910034602	"medium"
"∂L*M"	"DL*M"	-5	"EQ_Resets_Diff"	6.3194649412223e-30	0.550084595155709	"negligible"
"∂L*M"	"DL*M"	-5	"MQ_Resets_Diff"	0	0.289817910034602	"medium"
"∂L*M"	"DL*M"	-6	"TQ_Resets_Diff"	0.408164658738749	0.494332816326531	"negligible"
"∂L*M"	"DL*M"	-6	"EQ_Resets_Diff"	4.01645173046352e-42	0.40669706122449	"small"
"∂L*M"	"DL*M"	-6	"MQ_Resets_Diff"	0.408164658738749	0.494332816326531	"negligible"
"∂L*M"	"DL*M"	-7	"TQ_Resets_Diff"	0	0.191882	"large"
"∂L*M"	"DL*M"	-7	"EQ_Resets_Diff"	5.32213633211272e-89	0.3730314375	"small"
"∂L*M"	"DL*M"	-7	"MQ_Resets_Diff"	0	0.191882	"large"
"∂L*M"	"DL*M"	-8	"TQ_Resets_Diff"	3.00031903519975e-273	0.25750506122449	"large"
"∂L*M"	"DL*M"	-8	"EQ_Resets_Diff"	8.7963399008759e-14	0.448937632653061	"negligible"
"∂L*M"	"DL*M"	-8	"MQ_Resets_Diff"	3.00031903519975e-273	0.25750506122449	"large"
"∂L*M"	"DL*M"	4	"TQ_Resets_Diff"	0	0	"large"
