"SUL"	"Reuse"	"DeltaD"	"Method"	"N"	"MQ_Symbols"	"sd"	"se"	"ci"
"srv_097"	"null"	0	"L*M"	73	6677	0	0	0
"srv_097c"	"null"	0	"L*M"	73	5457	0	0	0
"srv_097c"	"srv_097"	274	"∂L*M"	500	4833.546	303.359261548307	13.5666386085231	26.6547736110736
"srv_097c"	"srv_097"	274	"Adp"	500	5457	0	0	0
"srv_097c"	"srv_097"	274	"DL*M+"	500	8834.07	1184.29675110986	52.9633608202761	104.058671649082
"srv_097c"	"srv_097"	274	"DL*M"	500	8958.742	1280.66997568039	57.2733024472872	112.526540637112
"srv_097e"	"null"	0	"L*M"	73	5457	0	0	0
"srv_097e"	"srv_097"	665	"∂L*M"	500	4989.632	151.547265641604	6.7773997555769	13.3157564942547
"srv_097e"	"srv_097"	665	"Adp"	500	5457	0	0	0
"srv_097e"	"srv_097"	665	"DL*M+"	500	8852.158	1200.06173565144	53.6683923622601	105.443867841192
"srv_097e"	"srv_097"	665	"DL*M"	500	8850.95	1168.5131618938	52.2574972519549	102.671840750374
"srv_097e"	"srv_097c"	391	"∂L*M"	500	4894.396	52.0737413008335	2.32880850782804	4.57547852131193
"srv_097e"	"srv_097c"	391	"Adp"	500	5457	0	0	0
"srv_097e"	"srv_097c"	391	"DL*M+"	500	5546.712	57.5334097936579	2.57297230551942	5.05519431085137
"srv_097e"	"srv_097c"	391	"DL*M"	500	5681.862	171.214531473164	7.65694662219545	15.0438280738513
"srv_098f"	"null"	0	"L*M"	73	5457	0	0	0
"srv_098f"	"srv_097"	1746	"∂L*M"	500	4989.632	151.547265641604	6.7773997555769	13.3157564942547
"srv_098f"	"srv_097"	1746	"Adp"	500	5457	0	0	0
"srv_098f"	"srv_097"	1746	"DL*M+"	500	8852.158	1200.06173565144	53.6683923622601	105.443867841192
"srv_098f"	"srv_097"	1746	"DL*M"	500	8850.95	1168.5131618938	52.2574972519549	102.671840750374
"srv_098f"	"srv_097c"	1472	"∂L*M"	500	4894.396	52.0737413008335	2.32880850782804	4.57547852131193
"srv_098f"	"srv_097c"	1472	"Adp"	500	5457	0	0	0
"srv_098f"	"srv_097c"	1472	"DL*M+"	500	5546.712	57.5334097936579	2.57297230551942	5.05519431085137
"srv_098f"	"srv_097c"	1472	"DL*M"	500	5681.862	171.214531473164	7.65694662219545	15.0438280738513
"srv_098f"	"srv_097e"	1081	"∂L*M"	500	4893.304	50.5016476645433	2.25850234307324	4.43734593305056
"srv_098f"	"srv_097e"	1081	"Adp"	500	5457	0	0	0
"srv_098f"	"srv_097e"	1081	"DL*M+"	500	5543.094	51.4311529229315	2.30007108193724	4.51901725604294
"srv_098f"	"srv_097e"	1081	"DL*M"	500	5679.834	168.200836760624	7.522170097382	14.7790286743351
"srv_098l"	"null"	0	"L*M"	73	2408	0	0	0
"srv_098l"	"srv_097"	2502	"∂L*M"	500	2212.768	325.442572371569	14.5542342919044	28.5951318766256
"srv_098l"	"srv_097"	2502	"Adp"	500	2781	0	0	0
"srv_098l"	"srv_097"	2502	"DL*M+"	500	6778.74	1016.99105897154	45.4812228073973	89.358295187753
"srv_098l"	"srv_097"	2502	"DL*M"	500	6694.514	690.492271468636	30.8797531388422	60.6703585783275
"srv_098l"	"srv_097c"	2228	"∂L*M"	500	2604.304	104.616005473361	4.67856999545853	9.19212397787051
"srv_098l"	"srv_097c"	2228	"Adp"	500	2781	0	0	0
"srv_098l"	"srv_097c"	2228	"DL*M+"	500	4538.4	225.68235431708	10.0928217115037	19.82966345459
"srv_098l"	"srv_097c"	2228	"DL*M"	500	4438.44	130.238821790597	5.8244571766651	11.4434822015431
"srv_098l"	"srv_097e"	1837	"∂L*M"	500	2602.072	101.320513762111	4.53119112574564	8.90256438093506
"srv_098l"	"srv_097e"	1837	"Adp"	500	2781	0	0	0
"srv_098l"	"srv_097e"	1837	"DL*M+"	500	4537.782	223.694167642508	10.0039073003776	19.6549706977683
"srv_098l"	"srv_097e"	1837	"DL*M"	500	4436.646	127.66125283323	5.7091847885578	11.2170031526593
"srv_098l"	"srv_098f"	756	"∂L*M"	500	2611.568	101.612950747033	4.54426930529409	8.92825946467451
"srv_098l"	"srv_098f"	756	"Adp"	500	2781	0	0	0
"srv_098l"	"srv_098f"	756	"DL*M+"	500	4524.4	222.338996261378	9.94330219379025	19.5358980636121
"srv_098l"	"srv_098f"	756	"DL*M"	500	4428.36	126.286051222876	5.64768390288744	11.096170555011
"srv_098m"	"null"	0	"L*M"	73	2065	0	0	0
"srv_098m"	"srv_097"	2614	"∂L*M"	500	2011.604	147.696634272928	6.60519428564385	12.9774193461884
"srv_098m"	"srv_097"	2614	"Adp"	500	2389	0	0	0
"srv_098m"	"srv_097"	2614	"DL*M+"	500	6588.228	827.488132382857	37.0063942916483	72.7075505192804
"srv_098m"	"srv_097"	2614	"DL*M"	500	6574.208	599.799790190548	26.8238620751235	52.7016301987952
"srv_098m"	"srv_097c"	2340	"∂L*M"	500	2212.304	104.616005473361	4.67856999545853	9.19212397787051
"srv_098m"	"srv_097c"	2340	"Adp"	500	2389	0	0	0
"srv_098m"	"srv_097c"	2340	"DL*M+"	500	4538.4	225.68235431708	10.0928217115037	19.82966345459
"srv_098m"	"srv_097c"	2340	"DL*M"	500	4438.44	130.238821790597	5.8244571766651	11.4434822015431
"srv_098m"	"srv_097e"	1949	"∂L*M"	500	2210.072	101.320513762111	4.53119112574564	8.90256438093506
"srv_098m"	"srv_097e"	1949	"Adp"	500	2389	0	0	0
"srv_098m"	"srv_097e"	1949	"DL*M+"	500	4537.782	223.694167642508	10.0039073003776	19.6549706977683
"srv_098m"	"srv_097e"	1949	"DL*M"	500	4436.646	127.66125283323	5.7091847885578	11.2170031526593
"srv_098m"	"srv_098f"	868	"∂L*M"	500	2219.568	101.612950747033	4.54426930529409	8.92825946467451
"srv_098m"	"srv_098f"	868	"Adp"	500	2389	0	0	0
"srv_098m"	"srv_098f"	868	"DL*M+"	500	4524.4	222.338996261378	9.94330219379025	19.5358980636121
"srv_098m"	"srv_098f"	868	"DL*M"	500	4428.36	126.286051222876	5.64768390288744	11.096170555011
"srv_098m"	"srv_098l"	112	"∂L*M"	500	2012.836	23.798778702603	1.06431373920989	2.09108848465768
"srv_098m"	"srv_098l"	112	"Adp"	500	2065	0	0	0
"srv_098m"	"srv_098l"	112	"DL*M+"	500	2424.954	27.8451897674692	1.24527474332885	2.44662788807285
"srv_098m"	"srv_098l"	112	"DL*M"	500	2424.954	27.8451897674692	1.24527474332885	2.44662788807285
"srv_098s"	"null"	0	"L*M"	73	2065	0	0	0
"srv_098s"	"srv_097"	3292	"∂L*M"	500	1916.024	234.092935452691	10.4689543344937	20.5686622738878
"srv_098s"	"srv_097"	3292	"Adp"	500	2389	0	0	0
"srv_098s"	"srv_097"	3292	"DL*M+"	500	6588.228	827.488132382857	37.0063942916483	72.7075505192804
"srv_098s"	"srv_097"	3292	"DL*M"	500	6544.628	600.965286991135	26.8759846765969	52.8040370058447
"srv_098s"	"srv_097c"	3018	"∂L*M"	500	2212.304	104.616005473361	4.67856999545853	9.19212397787051
"srv_098s"	"srv_097c"	3018	"Adp"	500	2389	0	0	0
"srv_098s"	"srv_097c"	3018	"DL*M+"	500	4538.4	225.68235431708	10.0928217115037	19.82966345459
"srv_098s"	"srv_097c"	3018	"DL*M"	500	4438.44	130.238821790597	5.8244571766651	11.4434822015431
