"Control"	"Treatment"	"Delta"	"Measure"	"Wilcox"	"VD"	"VD.magnitude"
"∂L*M"	"Adp"	55	"TQ_Symbols_Diff"	8.50967588798766e-193	0	"large"
"∂L*M"	"Adp"	55	"EQ_Symbols_Diff"	2.9741791932419e-219	1	"large"
"∂L*M"	"Adp"	55	"MQ_Symbols_Diff"	8.50967588798766e-193	0	"large"
"∂L*M"	"Adp"	95	"TQ_Symbols_Diff"	1.74684615305308e-189	0	"large"
"∂L*M"	"Adp"	95	"EQ_Symbols_Diff"	0.404112881612818	0.514	"negligible"
"∂L*M"	"Adp"	95	"MQ_Symbols_Diff"	1.74684615305308e-189	0	"large"
"∂L*M"	"Adp"	338	"TQ_Symbols_Diff"	5.68204114367304e-171	0.038	"large"
"∂L*M"	"Adp"	338	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	338	"MQ_Symbols_Diff"	5.68204114367304e-171	0.038	"large"
"∂L*M"	"Adp"	378	"TQ_Symbols_Diff"	0	0.00525	"large"
"∂L*M"	"Adp"	378	"EQ_Symbols_Diff"	4.42033641460328e-62	0.6215	"small"
"∂L*M"	"Adp"	378	"MQ_Symbols_Diff"	0	0.00525	"large"
"∂L*M"	"Adp"	283	"TQ_Symbols_Diff"	7.57603639917333e-178	0.026	"large"
"∂L*M"	"Adp"	283	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	283	"MQ_Symbols_Diff"	7.57603639917333e-178	0.026	"large"
"∂L*M"	"Adp"	128	"TQ_Symbols_Diff"	5.31127945698094e-171	0.037	"large"
"∂L*M"	"Adp"	128	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	128	"MQ_Symbols_Diff"	5.31127945698094e-171	0.037	"large"
"∂L*M"	"Adp"	20	"TQ_Symbols_Diff"	1.66224908427262e-155	0.086	"large"
"∂L*M"	"Adp"	20	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	20	"MQ_Symbols_Diff"	1.66224908427262e-155	0.086	"large"
"∂L*M"	"Adp"	4	"TQ_Symbols_Diff"	1.66224908427262e-155	0.086	"large"
"∂L*M"	"Adp"	4	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	4	"MQ_Symbols_Diff"	1.66224908427262e-155	0.086	"large"
"∂L*M"	"Adp"	210	"TQ_Symbols_Diff"	8.50967588798766e-193	0	"large"
"∂L*M"	"Adp"	210	"EQ_Symbols_Diff"	2.9741791932419e-219	1	"large"
"∂L*M"	"Adp"	210	"MQ_Symbols_Diff"	8.50967588798766e-193	0	"large"
"∂L*M"	"Adp"	249	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	249	"EQ_Symbols_Diff"	0.474412895837858	0.507	"negligible"
"∂L*M"	"Adp"	249	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	154	"TQ_Symbols_Diff"	5.87471829087958e-193	0	"large"
"∂L*M"	"Adp"	154	"EQ_Symbols_Diff"	2.9741791932419e-219	1	"large"
"∂L*M"	"Adp"	154	"MQ_Symbols_Diff"	5.87471829087958e-193	0	"large"
"∂L*M"	"Adp"	334	"TQ_Symbols_Diff"	5.68204114367304e-171	0.038	"large"
"∂L*M"	"Adp"	334	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	334	"MQ_Symbols_Diff"	5.68204114367304e-171	0.038	"large"
"∂L*M"	"Adp"	373	"TQ_Symbols_Diff"	2.13888033213291e-185	0.007	"large"
"∂L*M"	"Adp"	373	"EQ_Symbols_Diff"	1.03107028649817e-71	0.743	"large"
"∂L*M"	"Adp"	373	"MQ_Symbols_Diff"	2.13888033213291e-185	0.007	"large"
"∂L*M"	"Adp"	278	"TQ_Symbols_Diff"	7.57603639917333e-178	0.026	"large"
"∂L*M"	"Adp"	278	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	278	"MQ_Symbols_Diff"	7.57603639917333e-178	0.026	"large"
"∂L*M"	"Adp"	124	"TQ_Symbols_Diff"	5.31127945698094e-171	0.037	"large"
"∂L*M"	"Adp"	124	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	124	"MQ_Symbols_Diff"	5.31127945698094e-171	0.037	"large"
"∂L*M"	"Adp"	16	"TQ_Symbols_Diff"	1.66224908427262e-155	0.086	"large"
"∂L*M"	"Adp"	16	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	16	"MQ_Symbols_Diff"	1.66224908427262e-155	0.086	"large"
"∂L*M"	"Adp"	441	"TQ_Symbols_Diff"	1.13850627997867e-192	0	"large"
"∂L*M"	"Adp"	441	"EQ_Symbols_Diff"	NA	0.5	"negligible"
