"SUL"	"Reuse"	"DeltaY"	"Method"	"N"	"TQ_Resets"	"sd"	"se"	"ci"
"srv_097"	"null"	0	"L*M"	73	11525	0	0	0
"srv_097c"	"null"	0	"L*M"	73	9808	0	0	0
"srv_097c"	"srv_097"	0	"∂L*M"	500	9707.358	29.2516179091106	1.30817212193243	2.57020421643138
"srv_097c"	"srv_097"	0	"Adp"	500	9808	0	0	0
"srv_097c"	"srv_097"	0	"DL*M+"	500	10117.636	157.808512308792	7.05741121901143	13.865903246278
"srv_097c"	"srv_097"	0	"DL*M"	500	10076.648	194.545140570097	8.70032318013979	17.0937806631121
"srv_097e"	"null"	0	"L*M"	73	9820	0	0	0
"srv_097e"	"srv_097"	1	"∂L*M"	500	9742.016	10.5621428566104	0.472353388308895	0.928046584943106
"srv_097e"	"srv_097"	1	"Adp"	500	9820	0	0	0
"srv_097e"	"srv_097"	1	"DL*M+"	500	10267.922	147.846423852903	6.61189307930674	12.990580662982
"srv_097e"	"srv_097"	1	"DL*M"	500	10228.536	110.721484809394	4.95161533207029	9.72858417578376
"srv_097e"	"srv_097c"	1	"∂L*M"	500	9745.652	8.73013898247368	0.39042368435664	0.767076887593191
"srv_097e"	"srv_097c"	1	"Adp"	500	9820	0	0	0
"srv_097e"	"srv_097c"	1	"DL*M+"	500	9818	0	0	0
"srv_097e"	"srv_097c"	1	"DL*M"	500	9843.89	19.515625002507	0.872765282580004	1.71474760211861
"srv_098f"	"null"	0	"L*M"	73	9820	0	0	0
"srv_098f"	"srv_097"	4	"∂L*M"	500	9742.016	10.5621428566104	0.472353388308895	0.928046584943106
"srv_098f"	"srv_097"	4	"Adp"	500	9820	0	0	0
"srv_098f"	"srv_097"	4	"DL*M+"	500	10267.922	147.846423852903	6.61189307930674	12.990580662982
"srv_098f"	"srv_097"	4	"DL*M"	500	10228.536	110.721484809394	4.95161533207029	9.72858417578376
"srv_098f"	"srv_097c"	4	"∂L*M"	500	9745.652	8.73013898247368	0.39042368435664	0.767076887593191
"srv_098f"	"srv_097c"	4	"Adp"	500	9820	0	0	0
"srv_098f"	"srv_097c"	4	"DL*M+"	500	9818	0	0	0
"srv_098f"	"srv_097c"	4	"DL*M"	500	9843.89	19.515625002507	0.872765282580004	1.71474760211861
"srv_098f"	"srv_097e"	3	"∂L*M"	500	9745.4	8.21943539645351	0.36758432566276	0.722203728296014
"srv_098f"	"srv_097e"	3	"Adp"	500	9820	0	0	0
"srv_098f"	"srv_097e"	3	"DL*M+"	500	9818	0	0	0
"srv_098f"	"srv_097e"	3	"DL*M"	500	9844.124	19.5095327400599	0.872492828320635	1.71421230322753
"srv_098l"	"null"	0	"L*M"	73	6064	0	0	0
"srv_098l"	"srv_097"	6	"∂L*M"	500	6014.616	66.4526331223812	2.97185209890997	5.83888516439687
"srv_098l"	"srv_097"	6	"Adp"	500	6131	0	0	0
"srv_098l"	"srv_097"	6	"DL*M+"	500	6649.65	131.731293804984	5.89120255423883	11.5746188065748
"srv_098l"	"srv_097"	6	"DL*M"	500	6743.202	187.042077280345	8.36477598903243	16.4345212346801
"srv_098l"	"srv_097c"	6	"∂L*M"	500	6093.686	16.8366966090564	0.752959962687806	1.47936256892972
"srv_098l"	"srv_097c"	6	"Adp"	500	6131	0	0	0
"srv_098l"	"srv_097c"	6	"DL*M+"	500	6324.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098l"	"srv_097c"	6	"DL*M"	500	6310.28	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098l"	"srv_097e"	5	"∂L*M"	500	6093.2	15.8517682645889	0.708912628063894	1.39282147599946
"srv_098l"	"srv_097e"	5	"Adp"	500	6131	0	0	0
"srv_098l"	"srv_097e"	5	"DL*M+"	500	6324.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_098l"	"srv_097e"	5	"DL*M"	500	6310.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_098l"	"srv_098f"	2	"∂L*M"	500	6095.252	16.3736583993547	0.732252264426348	1.43867754553574
"srv_098l"	"srv_098f"	2	"Adp"	500	6131	0	0	0
"srv_098l"	"srv_098f"	2	"DL*M+"	500	6322.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098l"	"srv_098f"	2	"DL*M"	500	6309.72	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098m"	"null"	0	"L*M"	73	5597	0	0	0
"srv_098m"	"srv_097"	7	"∂L*M"	500	5723.718	125.007152003812	5.59048979108346	10.9837996025583
"srv_098m"	"srv_097"	7	"Adp"	500	5658	0	0	0
"srv_098m"	"srv_097"	7	"DL*M+"	500	6204.92	105.10855920636	4.70059766804964	9.23540239362532
"srv_098m"	"srv_097"	7	"DL*M"	500	6321.772	179.078413473944	8.00863011661104	15.7347909716549
"srv_098m"	"srv_097c"	6	"∂L*M"	500	5620.686	16.8366966090564	0.752959962687806	1.47936256892972
"srv_098m"	"srv_097c"	6	"Adp"	500	5658	0	0	0
"srv_098m"	"srv_097c"	6	"DL*M+"	500	5906.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098m"	"srv_097c"	6	"DL*M"	500	5892.28	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098m"	"srv_097e"	5	"∂L*M"	500	5620.2	15.8517682645889	0.708912628063894	1.39282147599946
"srv_098m"	"srv_097e"	5	"Adp"	500	5658	0	0	0
"srv_098m"	"srv_097e"	5	"DL*M+"	500	5906.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_098m"	"srv_097e"	5	"DL*M"	500	5892.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_098m"	"srv_098f"	2	"∂L*M"	500	5622.252	16.3736583993547	0.732252264426348	1.43867754553574
"srv_098m"	"srv_098f"	2	"Adp"	500	5658	0	0	0
"srv_098m"	"srv_098f"	2	"DL*M+"	500	5904.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098m"	"srv_098f"	2	"DL*M"	500	5891.72	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098m"	"srv_098l"	0	"∂L*M"	500	5579.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_098m"	"srv_098l"	0	"Adp"	500	5597	0	0	0
"srv_098m"	"srv_098l"	0	"DL*M+"	500	5646	0	0	0
"srv_098m"	"srv_098l"	0	"DL*M"	500	5646	0	0	0
"srv_098s"	"null"	0	"L*M"	73	5522	0	0	0
"srv_098s"	"srv_097"	9	"∂L*M"	500	5480.224	53.1797140644433	2.37826911344194	4.67265522685761
"srv_098s"	"srv_097"	9	"Adp"	500	5583	0	0	0
"srv_098s"	"srv_097"	9	"DL*M+"	500	6129.92	105.10855920636	4.70059766804964	9.23540239362532
