"SUL"	"Reuse"	"DeltaY"	"Method"	"N"	"TQ_Symbols"	"sd"	"se"	"ci"
"srv_097"	"null"	0	"L*M"	73	80340	0	0	0
"srv_097c"	"null"	0	"L*M"	73	67753	0	0	0
"srv_097c"	"srv_097"	0	"∂L*M"	500	67096.012	269.779357363232	12.0648996398079	23.7042629216474
"srv_097c"	"srv_097"	0	"Adp"	500	67753	0	0	0
"srv_097c"	"srv_097"	0	"DL*M+"	500	70384.726	1138.07393586312	50.8962136802136	99.9972869075054
"srv_097c"	"srv_097"	0	"DL*M"	500	70278.148	1424.20817014924	63.6925256512856	125.138577133318
"srv_097e"	"null"	0	"L*M"	73	67827	0	0	0
"srv_097e"	"srv_097"	1	"∂L*M"	500	67336.098	119.205655791768	5.3310389930567	10.4740489941599
"srv_097e"	"srv_097"	1	"Adp"	500	67827	0	0	0
"srv_097e"	"srv_097"	1	"DL*M+"	500	71220.308	1215.47238198106	54.3575774176649	106.797929975375
"srv_097e"	"srv_097"	1	"DL*M"	500	71116.408	1086.99803264862	48.6120298482169	95.5094837983625
"srv_097e"	"srv_097c"	1	"∂L*M"	500	67274.396	52.0737413008335	2.32880850782804	4.57547852131193
"srv_097e"	"srv_097c"	1	"Adp"	500	67827	0	0	0
"srv_097e"	"srv_097c"	1	"DL*M+"	500	67881.712	57.5334097936579	2.57297230551942	5.05519431085137
"srv_097e"	"srv_097c"	1	"DL*M"	500	68061.862	171.214531473164	7.65694662219545	15.0438280738513
"srv_098f"	"null"	0	"L*M"	73	67827	0	0	0
"srv_098f"	"srv_097"	4	"∂L*M"	500	67336.098	119.205655791768	5.3310389930567	10.4740489941599
"srv_098f"	"srv_097"	4	"Adp"	500	67827	0	0	0
"srv_098f"	"srv_097"	4	"DL*M+"	500	71220.308	1215.47238198106	54.3575774176649	106.797929975375
"srv_098f"	"srv_097"	4	"DL*M"	500	71116.408	1086.99803264862	48.6120298482169	95.5094837983625
"srv_098f"	"srv_097c"	4	"∂L*M"	500	67274.396	52.0737413008335	2.32880850782804	4.57547852131193
"srv_098f"	"srv_097c"	4	"Adp"	500	67827	0	0	0
"srv_098f"	"srv_097c"	4	"DL*M+"	500	67881.712	57.5334097936579	2.57297230551942	5.05519431085137
"srv_098f"	"srv_097c"	4	"DL*M"	500	68061.862	171.214531473164	7.65694662219545	15.0438280738513
"srv_098f"	"srv_097e"	3	"∂L*M"	500	67273.304	50.5016476645433	2.25850234307324	4.43734593305056
"srv_098f"	"srv_097e"	3	"Adp"	500	67827	0	0	0
"srv_098f"	"srv_097e"	3	"DL*M+"	500	67878.094	51.4311529229315	2.30007108193724	4.51901725604294
"srv_098f"	"srv_097e"	3	"DL*M"	500	68059.834	168.200836760624	7.522170097382	14.7790286743351
"srv_098l"	"null"	0	"L*M"	73	36077	0	0	0
"srv_098l"	"srv_097"	6	"∂L*M"	500	35845.804	360.848801159983	16.1376489798606	31.7061132521745
"srv_098l"	"srv_097"	6	"Adp"	500	36450	0	0	0
"srv_098l"	"srv_097"	6	"DL*M+"	500	40447.74	1016.99105897154	45.4812228073973	89.358295187753
