Inferred	Reused	N	EQ_Reset	sd	se	ci	EQ_Reset_Percent
client_098j	N/A	2998	1980,80120080053	222,806811791306	4,06923386356199	7,97877409282229	1
client_098l	N/A	3997	1982,64648486365	233,446574560331	3,69249938487042	7,23935855472389	1
client_098l	client_098j	1000	1700	0	0	0	0,857439797250045
client_098m	N/A	4998	1989,58323329332	237,072434033097	3,35338125807672	6,57409885254722	1
client_098m	client_098j	1000	1700	0	0	0	0,854450304743483
client_098m	client_098l	1000	1700	0	0	0	0,854450304743483
client_098za	N/A	6000	1928,50283333333	138,456284373153	1,78746294518326	3,50406997876269	1
client_098za	client_098j	1000	1700	0	0	0	0,881512835042935
client_098za	client_098l	1000	1700	0	0	0	0,881512835042935
client_098za	client_098m	1000	1700	0	0	0	0,881512835042935
client_100m	N/A	7000	1929,08657142857	141,244492961929	1,68819458899028	3,30937289455134	1
client_100m	client_098j	1000	1700	0	0	0	0,88124609085899
client_100m	client_098l	1000	1700	0	0	0	0,88124609085899
client_100m	client_098m	1000	1700	0	0	0	0,88124609085899
client_100m	client_098za	1000	1700	0	0	0	0,88124609085899
client_101	N/A	7990	1973,78110137672	241,787281543868	2,70495511372292	5,30241793764985	1
client_101	client_098j	1000	1700	0	0	0	0,861291051380643
client_101	client_098l	1000	1700	0	0	0	0,861291051380643
client_101	client_098m	1000	1700	0	0	0	0,861291051380643
client_101	client_098za	1000	1700	0	0	0	0,861291051380643
client_101	client_100m	1000	1700	0	0	0	0,861291051380643
client_101h	N/A	9000	1928,80566666667	138,954732648492	1,46471148942999	2,87116793797423	1
client_101h	client_098j	1000	1700	0	0	0	0,881374432572004
client_101h	client_098l	1000	1700	0	0	0	0,881374432572004
client_101h	client_098m	1000	1700	0	0	0	0,881374432572004
client_101h	client_098za	1000	1700	0	0	0	0,881374432572004
client_101h	client_100m	1000	1700	0	0	0	0,881374432572004
client_101h	client_101	1000	1700	0	0	0	0,881374432572004
client_102	N/A	10000	1927,5718	140,26265363938	1,4026265363938	2,74943030902797	1
client_102	client_098j	1000	1700	0	0	0	0,881938613129742
client_102	client_098l	1000	1700	0	0	0	0,881938613129742
client_102	client_098m	1000	1700	0	0	0	0,881938613129742
client_102	client_098za	1000	1700	0	0	0	0,881938613129742
client_102	client_100m	1000	1700	0	0	0	0,881938613129742
client_102	client_101	1000	1700	0	0	0	0,881938613129742
client_102	client_101h	1000	1700	0	0	0	0,881938613129742
client_110-pre1	N/A	11000	1927,29336363636	139,299923247438	1,32817265501214	2,60345706117714	1
client_110-pre1	client_098j	1000	1700	0	0	0	0,882066026934523
client_110-pre1	client_098l	1000	1700	0	0	0	0,882066026934523
client_110-pre1	client_098m	1000	1700	0	0	0	0,882066026934523
client_110-pre1	client_098za	1000	1700	0	0	0	0,882066026934523
client_110-pre1	client_100m	1000	1700	0	0	0	0,882066026934523
client_110-pre1	client_101	1000	1700	0	0	0	0,882066026934523
client_110-pre1	client_101h	1000	1700	0	0	0	0,882066026934523
client_110-pre1	client_102	1000	1700	0	0	0	0,882066026934523
