Control	Treatment	Metric	Wilcox	VD	VD.magnitude
server_097c	server_097	MQ_Reset	0	0	large
server_097e	server_097	MQ_Reset	0	0	large
server_097e	server_097c	MQ_Reset	0	0	large
server_098l	server_097	MQ_Reset	0	0	large
server_098l	server_097c	MQ_Reset	0	0	large
server_098l	server_097e	MQ_Reset	0	0	large
server_098m	server_097	MQ_Reset	0	0	large
server_098m	server_097c	MQ_Reset	0	0	large
server_098m	server_097e	MQ_Reset	0	0	large
server_098m	server_098l	MQ_Reset	0	0	large
server_098s	server_097	MQ_Reset	0	0	large
server_098s	server_097c	MQ_Reset	0	0	large
server_098s	server_097e	MQ_Reset	0	0	large
server_098s	server_098l	MQ_Reset	0	0	large
server_098s	server_098m	MQ_Reset	0	0	large
server_098u	server_097	MQ_Reset	0	0	large
server_098u	server_097c	MQ_Reset	0	0	large
server_098u	server_097e	MQ_Reset	0	0	large
server_098u	server_098l	MQ_Reset	0	0	large
server_098u	server_098m	MQ_Reset	0	0	large
server_098u	server_098s	MQ_Reset	0	0	large
server_098za	server_097	MQ_Reset	0	0	large
server_098za	server_097c	MQ_Reset	0	0	large
server_098za	server_097e	MQ_Reset	0	0	large
server_098za	server_098l	MQ_Reset	0	0	large
server_098za	server_098m	MQ_Reset	0	0	large
server_098za	server_098s	MQ_Reset	0	0	large
server_098za	server_098u	MQ_Reset	0	0	large
server_100	server_097	MQ_Reset	0	0	large
server_100	server_097c	MQ_Reset	0	0	large
server_100	server_097e	MQ_Reset	0	0	large
server_100	server_098l	MQ_Reset	0	0	large
server_100	server_098m	MQ_Reset	0	0	large
server_100	server_098s	MQ_Reset	0	0	large
server_100	server_098u	MQ_Reset	0	0	large
server_100	server_098za	MQ_Reset	0	0	large
server_101	server_097	MQ_Reset	0	0	large
server_101	server_097c	MQ_Reset	0	0	large
server_101	server_097e	MQ_Reset	0	0	large
server_101	server_098l	MQ_Reset	0	0	large
server_101	server_098m	MQ_Reset	0	0	large
server_101	server_098s	MQ_Reset	0	0	large
server_101	server_098u	MQ_Reset	0	0	large
server_101	server_098za	MQ_Reset	0	0	large
server_101	server_100	MQ_Reset	0	0	large
server_101k	server_097	MQ_Reset	0	0	large
server_101k	server_097c	MQ_Reset	0	0	large
server_101k	server_097e	MQ_Reset	0	0	large
server_101k	server_098l	MQ_Reset	0	0	large
server_101k	server_098m	MQ_Reset	0	0	large
server_101k	server_098s	MQ_Reset	0	0	large
server_101k	server_098u	MQ_Reset	0	0	large
server_101k	server_098za	MQ_Reset	0	0	large
server_101k	server_100	MQ_Reset	0	0	large
server_101k	server_101	MQ_Reset	0	0	large
server_102	server_097	MQ_Reset	0	0	large
server_102	server_097c	MQ_Reset	0	0	large
server_102	server_097e	MQ_Reset	0	0	large
server_102	server_098l	MQ_Reset	0	0	large
server_102	server_098m	MQ_Reset	0	0	large
server_102	server_098s	MQ_Reset	0	0	large
server_102	server_098u	MQ_Reset	0	0	large
server_102	server_098za	MQ_Reset	0	0	large
server_102	server_100	MQ_Reset	0	0	large
server_102	server_101	MQ_Reset	0	0	large
server_102	server_101k	MQ_Reset	0	0	large
server_110-pre1	server_097	MQ_Reset	0	0	large
server_110-pre1	server_097c	MQ_Reset	0	0	large
