Inferred	Reused	N	Rounds	sd	se	ci	Rounds_Percent
server_097c	N/A	707	6,54738330975955	0,916609916013698	0,0344726638340733	0,0676812086068942	1
server_097c	server_097	1000	1	0	0	0	0,152732771656945
server_097e	N/A	1421	6,37790288529205	0,942750751415498	0,0250092028001101	0,0490589525126532	1
server_097e	server_097	1000	1	0	0	0	0,156791349442789
server_097e	server_097c	1000	1	0	0	0	0,156791349442789
server_098l	N/A	2964	4,87618083670715	0,714244056383733	0,0131192055145562	0,0257236781829349	1
server_098l	server_097	1000	1	0	0	0	0,205078530408912
server_098l	server_097c	1000	1	0	0	0	0,205078530408912
server_098l	server_097e	1000	1	0	0	0	0,205078530408912
server_098m	N/A	3971	4,93981364895492	0,780527410353025	0,0123862036302811	0,0242839166080843	1
server_098m	server_097	1000	1	0	0	0	0,2024367862969
server_098m	server_097c	1000	1	0	0	0	0,2024367862969
server_098m	server_097e	1000	1	0	0	0	0,2024367862969
server_098m	server_098l	1000	1	0	0	0	0,2024367862969
server_098s	N/A	4970	4,91649899396378	0,731702690460959	0,0103790225987902	0,020347466767948	1
server_098s	server_097	1000	1	0	0	0	0,203396766932679
server_098s	server_097c	1000	1	0	0	0	0,203396766932679
server_098s	server_097e	1000	1	0	0	0	0,203396766932679
server_098s	server_098l	1000	1	0	0	0	0,203396766932679
server_098s	server_098m	1000	1	0	0	0	0,203396766932679
server_098u	N/A	5916	5,32403651115619	0,768771512147157	0,00999500921681703	0,0195938674971951	1
server_098u	server_097	1000	2,065	0,246649216167082	0,00779973306183204	0,0153057395730064	0,38786360605772
server_098u	server_097c	1000	2,079	0,269873733126868	0,00853415677333337	0,0167469296721249	0,390493189827603
server_098u	server_097e	1000	2,059	0,235742602375079	0,00745483565040669	0,0146289330827288	0,386736641584913
server_098u	server_098l	1000	2,073	0,260266668512775	0,00823035471524398	0,0161507662975584	0,389366225354796
server_098u	server_098m	1000	2,074	0,261901875885975	0,0082820645127041	0,0162522385770613	0,38955405276693
server_098u	server_098s	1000	2,071	0,256953351846254	0,00812557844248796	0,0159451594733863	0,388990570530527
server_098za	N/A	6972	4,56956397016638	0,781112341718111	0,00935480653946173	0,018338267937354	1
server_098za	server_097	998	2	0	0	0	0,437678520983082
server_098za	server_097c	998	2	0	0	0	0,437678520983082
server_098za	server_097e	1000	2	0	0	0	0,437678520983082
server_098za	server_098l	998	2	0	0	0	0,437678520983082
server_098za	server_098m	999	2	0	0	0	0,437678520983082
server_098za	server_098s	999	2	0	0	0	0,437678520983082
server_098za	server_098u	1000	1	0	0	0	0,218839260491541
server_100	N/A	7952	4,95887826961771	0,781141159474813	0,00875974242786982	0,017171393632338	1
server_100	server_097	1000	1	0	0	0	0,201658509370324
server_100	server_097c	1000	1	0	0	0	0,201658509370324
server_100	server_097e	1000	1	0	0	0	0,201658509370324
server_100	server_098l	1000	1	0	0	0	0,201658509370324
server_100	server_098m	1000	1	0	0	0	0,201658509370324
server_100	server_098s	1000	1	0	0	0	0,201658509370324
server_100	server_098u	1000	1	0	0	0	0,201658509370324
server_100	server_098za	1000	1	0	0	0	0,201658509370324
server_101	N/A	8820	5,34195011337868	0,779650941842412	0,0083016785937208	0,0162732244703292	1
server_101	server_097	1000	2,076	0,265130711714607	0,00838416926679646	0,0164526029693955	0,388622124119195
server_101	server_097c	1000	2,077	0,266724843503829	0,00843458014024066	0,016551526316447	0,388809321674166
server_101	server_097e	1000	2,089	0,284886223184204	0,00900889339265152	0,0176785250233313	0,391055692333814
server_101	server_098l	1000	2,077	0,266724843503829	0,00843458014024066	0,016551526316447	0,388809321674166
server_101	server_098m	1000	2,074	0,261901875885975	0,0082820645127041	0,0162522385770613	0,388247729009254
server_101	server_098s	1000	2,059	0,235742602375079	0,00745483565040669	0,0146289330827288	0,385439765684693
server_101	server_098u	1000	1	0	0	0	0,187197554970711
server_101	server_098za	1000	1	0	0	0	0,187197554970711
server_101	server_100	1000	2,086	0,28050433629925	0,00887032596259476	0,0174066084101682	0,390494099668902
server_101k	N/A	9968	4,67014446227929	0,841117219644285	0,00842466245723066	0,0165140404129802	1
server_101k	server_097	999	2	0	0	0	0,428252277023544
server_101k	server_097c	999	2	0	0	0	0,428252277023544
server_101k	server_097e	1000	2	0	0	0	0,428252277023544
server_101k	server_098l	999	2	0	0	0	0,428252277023544
server_101k	server_098m	999	2	0	0	0	0,428252277023544
server_101k	server_098s	1000	2	0	0	0	0,428252277023544
server_101k	server_098u	1000	1	0	0	0	0,214126138511772
server_101k	server_098za	1000	1	0	0	0	0,214126138511772
server_101k	server_100	1000	2	0	0	0	0,428252277023544
server_101k	server_101	1000	1	0	0	0	0,214126138511772
server_102	N/A	10991	4,77836411609499	0,595715288452489	0,00568224744525594	0,0111382270310799	1
server_102	server_097	1000	1	0	0	0	0,209276642738818
server_102	server_097c	1000	1	0	0	0	0,209276642738818
server_102	server_097e	1000	1	0	0	0	0,209276642738818
server_102	server_098l	1000	1	0	0	0	0,209276642738818
server_102	server_098m	1000	1	0	0	0	0,209276642738818
server_102	server_098s	1000	1	0	0	0	0,209276642738818
server_102	server_098u	1000	1	0	0	0	0,209276642738818
server_102	server_098za	1000	1	0	0	0	0,209276642738818
server_102	server_100	1000	1	0	0	0	0,209276642738818
server_102	server_101	1000	1	0	0	0	0,209276642738818
server_102	server_101k	1000	1	0	0	0	0,209276642738818
server_110-pre1	N/A	12000	4,50041666666667	0,567327049758195	0,00517896371059032	0,0101516063624098	1
server_110-pre1	server_097	1000	1	0	0	0	0,222201647995556
server_110-pre1	server_097c	1000	1	0	0	0	0,222201647995556
server_110-pre1	server_097e	1000	1	0	0	0	0,222201647995556
server_110-pre1	server_098l	1000	1	0	0	0	0,222201647995556
server_110-pre1	server_098m	1000	1	0	0	0	0,222201647995556
server_110-pre1	server_098s	1000	1	0	0	0	0,222201647995556
server_110-pre1	server_098u	1000	1	0	0	0	0,222201647995556
server_110-pre1	server_098za	1000	1	0	0	0	0,222201647995556
server_110-pre1	server_100	1000	1	0	0	0	0,222201647995556
server_110-pre1	server_101	1000	1	0	0	0	0,222201647995556
server_110-pre1	server_101k	1000	1	0	0	0	0,222201647995556
server_110-pre1	server_102	1000	1	0	0	0	0,222201647995556
