Inferred	Reused	N	EQ_Reset	sd	se	ci
server_097e	N/A	2e+05	3058,61401	2521,86291130673	5,63905689961736	11,0524153176167
server_097e	server_097	1e+05	0	0	0	0
server_097e	server_097c	1e+05	0	0	0	0
server_098l	N/A	2e+05	294,020215	339,015593851106	0,758061913283533	1,48578303982804
server_098l	server_097	1e+05	0	0	0	0
server_098l	server_097e	1e+05	0	0	0	0
server_098m	N/A	2e+05	268,07583	299,554938292822	0,669825205018505	1,31284122289573
server_098m	server_097	1e+05	0	0	0	0
server_098m	server_098l	1e+05	0	0	0	0
server_098s	N/A	2e+05	287,464965	314,112411654784	0,702376705036495	1,37664137668291
server_098s	server_097	1e+05	0	0	0	0
server_098s	server_100	1e+05	0	0	0	0
server_098u	N/A	2e+05	312,570665	348,496911057965	0,779262783074307	1,5273362325327
server_098u	server_097	1e+05	170,32953	164,639933743478	0,520637184448604	1,02044248172821
server_098u	server_098s	1e+05	186,29506	174,184588188232	0,550820031973275	1,07960049186211
server_098za	N/A	2e+05	285,919335	300,08827743354	0,671017787592211	1,31517865593459
server_098za	server_097	1e+05	261,9346	243,206325814131	0,769085930933658	1,50739897085024
server_098za	server_101	1e+05	0	0	0	0
server_100	N/A	2e+05	268,26521	300,939964457974	0,672922217674402	1,31891129289613
server_100	server_097	1e+05	0	0	0	0
server_100	server_098m	1e+05	0	0	0	0
server_101	N/A	2e+05	363,395795	412,631405560341	0,922671872484206	1,8084145838767
server_101	server_097	1e+05	204,68561	195,08891051456	0,616925303466781	1,2091660114083
server_101	server_098u	1e+05	0	0	0	0
server_101k	N/A	2e+05	248,245305	259,573878122295	0,580424836664697	1,13761866029644
server_101k	server_097	1e+05	214,14133	206,667042482578	0,653538571535725	1,28092756676479
server_101k	server_098za	1e+05	0	0	0	0
server_102	N/A	2e+05	203,93273	203,450806279798	0,45492983291877	0,891651484157467
server_102	server_097	1e+05	0	0	0	0
server_102	server_101k	1e+05	0	0	0	0
server_110pre1	N/A	2e+05	110,290555	79,9461510626204	0,178765028315486	0,350375137612521
server_110pre1	server_097	1e+05	0	0	0	0
server_110pre1	server_102	1e+05	0	0	0	0
client_098m	N/A	2e+05	235,00292	179,594830808099	0,401586250094484	0,787099350281375
client_098m	client_098j	1e+05	0	0	0	0
client_098m	client_098l	1e+05	0	0	0	0
client_098za	N/A	2e+05	198,019815	119,445562950569	0,267088398368202	0,523486809555467
client_098za	client_098j	1e+05	0	0	0	0
client_098za	client_101	1e+05	0	0	0	0
client_100m	N/A	2e+05	197,634025	118,925717798679	0,265925989270804	0,521208515801365
client_100m	client_098j	1e+05	0	0	0	0
client_100m	client_098za	1e+05	0	0	0	0
client_101	N/A	2e+05	258,81452	230,020599826518	0,514341697437371	1,0080973035813
client_101	client_098j	1e+05	0	0	0	0
client_101	client_098m	1e+05	0	0	0	0
client_101h	N/A	2e+05	197,948305	119,140353427149	0,266405929126456	0,522149186325988
client_101h	client_098j	1e+05	0	0	0	0
client_101h	client_100m	1e+05	0	0	0	0
client_102	N/A	2e+05	197,838165	119,186057326409	0,266508126152038	0,522349490027664
client_102	client_098j	1e+05	0	0	0	0
client_102	client_101h	1e+05	0	0	0	0
client_110-pre1	N/A	2e+05	197,402735	119,157166891765	0,266443525176273	0,522222873675536
client_110-pre1	client_098j	1e+05	0	0	0	0
client_110-pre1	client_102	1e+05	0	0	0	0
