Inferred	Reused	N	Rounds	sd	se	ci
server_097e	N/A	2e+05	7,38338	1,07348755813828	0,00240039115299745	0,00470470868088969
server_097e	server_097	1e+05	1	0	0	0
server_097e	server_097c	1e+05	1	0	0	0
server_098l	N/A	2e+05	4,98186	0,662957870430459	0,001482418864501	0,00290550516811537
server_098l	server_097	1e+05	1	0	0	0
server_098l	server_097e	1e+05	1	0	0	0
server_098m	N/A	2e+05	5,14963	0,788862456084629	0,00176395007670267	0,00345729954393308
server_098m	server_097	1e+05	1	0	0	0
server_098m	server_098l	1e+05	1	0	0	0
server_098s	N/A	2e+05	5,10201	0,713811254837396	0,00159613048892084	0,00312837720539064
server_098s	server_097	1e+05	1	0	0	0
server_098s	server_100	1e+05	1	0	0	0
server_098u	N/A	2e+05	5,453945	0,799463653136065	0,00178765507395255	0,00350376076597296
server_098u	server_097	1e+05	2,04942	0,216744396424299	0,000685405962779241	0,00134338726188084
server_098u	server_098s	1e+05	2,04974	0,217408383150353	0,000687505673169688	0,001347502668436
server_098za	N/A	2e+05	4,756475	0,855701019922366	0,00191340564896231	0,00375022885561598
server_098za	server_097	1e+05	2	0	0	0
server_098za	server_101	1e+05	1	0	0	0
server_100	N/A	2e+05	5,14908	0,788231095644736	0,00176253831184077	0,00345453251890348
server_100	server_097	1e+05	1	0	0	0
server_100	server_098m	1e+05	1	0	0	0
server_101	N/A	2e+05	5,47275	0,807477985832114	0,00180557566665522	0,00353888469481666
server_101	server_097	1e+05	2,05004	0,218028607675088	0,000689466995328548	0,00135134683575834
server_101	server_098u	1e+05	1	0	0	0
server_101k	N/A	2e+05	4,829065	0,906156902184526	0,00202622843156523	0,00397135878439915
server_101k	server_097	1e+05	2	0	0	0
server_101k	server_098za	1e+05	1	0	0	0
server_102	N/A	2e+05	4,88526	0,581365996883299	0,00129997388883799	0,00254791742258704
server_102	server_097	1e+05	1	0	0	0
server_102	server_101k	1e+05	1	0	0	0
server_110pre1	N/A	2e+05	4,566365	0,591022362785171	0,00132156617941018	0,00259023779056893
server_110pre1	server_097	1e+05	1	0	0	0
server_110pre1	server_102	1e+05	1	0	0	0
client_098m	N/A	2e+05	5,47458	0,598335703119969	0,00133791930554138	0,00262228952279309
client_098m	client_098j	1e+05	1	0	0	0
client_098m	client_098l	1e+05	1	0	0	0
client_098za	N/A	2e+05	5,2941	0,455638264450145	0,00101883813246055	0,00199689813063299
client_098za	client_098j	1e+05	1	0	0	0
client_098za	client_101	1e+05	1	0	0	0
client_100m	N/A	2e+05	5,291645	0,454520876221472	0,00101633957642398	0,00199200102115137
client_100m	client_098j	1e+05	1	0	0	0
client_100m	client_098za	1e+05	1	0	0	0
client_101	N/A	2e+05	5,44586	0,635169959620563	0,00142028320697738	0,00278372078019211
client_101	client_098j	1e+05	1	0	0	0
client_101	client_098m	1e+05	1	0	0	0
client_101h	N/A	2e+05	5,29292	0,455103185216876	0,00101764165892161	0,00199455307139626
client_101h	client_098j	1e+05	1	0	0	0
client_101h	client_100m	1e+05	1	0	0	0
client_102	N/A	2e+05	5,292085	0,45472231816454	0,0010167900143022	0,00199288386851282
client_102	client_098j	1e+05	1	0	0	0
client_102	client_101h	1e+05	1	0	0	0
client_110-pre1	N/A	2e+05	5,294095	0,455636004937982	0,00101883308003776	0,00199688822800636
client_110-pre1	client_098j	1e+05	1	0	0	0
client_110-pre1	client_102	1e+05	1	0	0	0
