Inferred	Reused	N	MQ_Per_EQ	sd	se	ci
server_097c	server_097	200	Inf	NA	NA	NA
server_097e	server_097	100	Inf	NA	NA	NA
server_097e	server_097c	100	Inf	NA	NA	NA
server_098l	N/A	148	2,7252977862751	7,52501913219673	0,61855276239329	1,22240457235083
server_098l	server_097	100	Inf	NA	NA	NA
server_098l	server_097e	100	Inf	NA	NA	NA
server_098m	N/A	147	2,74050061934939	5,00563720474269	0,412857998231971	0,815950110770053
server_098m	server_097	100	Inf	NA	NA	NA
server_098m	server_098l	100	Inf	NA	NA	NA
server_098s	N/A	118	2,290998288038	4,25171767718047	0,391402337608196	0,775151819635222
server_098s	server_097	100	Inf	NA	NA	NA
server_098s	server_100	100	Inf	NA	NA	NA
server_098u	N/A	164	3,06946970653965	5,43194293144896	0,424163480984303	0,837563652866401
server_098u	server_097	98	31,6513354625098	93,5912639120079	9,45414533885723	18,763861457976
server_098u	server_098s	100	16,7034461567297	50,2615486172948	5,02615486172948	9,97298167794212
server_098za	N/A	194	6,69308255870341	13,1190215678344	0,941890856770879	1,8577211719516
server_098za	server_097	100	38,5878063056667	156,150393458912	15,6150393458912	30,9836257698061
server_098za	server_101	100	Inf	NA	NA	NA
server_100	N/A	134	2,14353012492602	3,1144719544667	0,269049398382245	0,532169288147709
server_100	server_097	100	Inf	NA	NA	NA
server_100	server_098m	100	Inf	NA	NA	NA
server_101	N/A	156	2,36743363288925	3,0464608073611	0,243912072361144	0,481820768851188
server_101	server_097	97	73,7335074513974	261,965013315939	26,5985171669516	52,7976392861597
server_101	server_098u	100	Inf	NA	NA	NA
server_101k	N/A	198	6,28554717064981	10,6124300124028	0,754192560306016	1,48732733561122
server_101k	server_097	100	33,5913021258903	145,658808961939	14,5658808961939	28,9018677890167
server_101k	server_098za	100	Inf	NA	NA	NA
server_102	N/A	135	0,948596666572717	1,29511137052534	0,111465439322855	0,22045921702924
server_102	server_097	100	Inf	NA	NA	NA
server_102	server_101k	100	Inf	NA	NA	NA
server_110pre1	N/A	157	1,36973202415192	3,55580368363856	0,283784028365359	0,560555046115854
server_110pre1	server_097	100	Inf	NA	NA	NA
server_110pre1	server_102	100	Inf	NA	NA	NA
