Inferred	Reused	N	Total_Resets	sd	se	ci
server_097c	server_097	200	1573	0	0	0
server_097e	server_097	100	1573	0	0	0
server_097e	server_097c	100	1285	0	0	0
server_098l	N/A	148	1059,93918918919	510,985418889527	42,002742696621	83,0072191820221
server_098l	server_097	100	1390	0	0	0
server_098l	server_097e	100	1201	0	0	0
server_098m	N/A	147	927,544217687075	472,279581570483	38,9529633646403	76,9845198792586
server_098m	server_097	100	1362	0	0	0
server_098m	server_098l	100	750	0	0	0
server_098s	N/A	118	944,872881355932	483,874702058789	44,5442768958434	88,2176062134617
server_098s	server_097	100	1362	0	0	0
server_098s	server_100	100	708	0	0	0
server_098u	N/A	164	1029,92682926829	474,268213326046	37,0341255096583	73,1284960473295
server_098u	server_097	98	1794,02040816327	323,49218762669	32,6776456473862	64,8560809807164
server_098u	server_098s	100	1127,56	272,115294934654	27,2115294934654	53,9935780995278
server_098za	N/A	194	569,685567010309	333,382552822371	23,935472373963	47,2086903383013
server_098za	server_097	100	1623,36	213,467596008046	21,3467596008046	42,3566022613567
server_098za	server_101	100	883	0	0	0
server_100	N/A	134	962,246268656716	471,450576055077	40,7271266876125	80,5566789889487
server_100	server_097	100	1362	0	0	0
server_100	server_098m	100	708	0	0	0
server_101	N/A	156	1224,88461538462	513,445665203851	41,1085532241588	81,2053070152973
server_101	server_097	97	1956,21649484536	307,136988532944	31,1850363477613	61,9018079045638
server_101	server_098u	100	1087	0	0	0
server_101k	N/A	198	516,49494949495	310,555940790302	22,070249681661	43,5242766674603
server_101k	server_097	100	1681,24	256,27680426453	25,627680426453	50,8508779320075
server_101k	server_098za	100	553	0	0	0
server_102	N/A	135	932,414814814815	481,820310612973	41,468489752634	82,0174471817311
server_102	server_097	100	1328	0	0	0
server_102	server_101k	100	597	0	0	0
server_110pre1	N/A	157	758,076433121019	451,4900620964	36,0328297026609	71,1751983788717
server_110pre1	server_097	100	1370	0	0	0
server_110pre1	server_102	100	520	0	0	0
